Date,Q,Month,DecYear,OPConcDay,OPConcmm,OPFluxDay,OPFNConc,OPFNFlux,NO3ConcDay,NO3concmm,NO3FluxDay,NO3FNConc,NO3FNFlux,NPRatio
11/1/1977,154.3268127,11,1977.833333,0.178625463,0.005766993,2381.762745,0.12119067,3130.847609,0.135338473,0.00966241,1804.581085,0.12975486,3585.001667,1.675467603
11/2/1977,154.0436442,11,1977.836073,0.179156076,0.005784124,2384.454661,0.121397489,3136.732825,0.136444028,0.00974134,1815.984165,0.130788967,3618.874226,1.68415136
11/3/1977,159.990182,11,1977.838813,0.175187379,0.005655993,2421.641726,0.121653674,3143.121234,0.137493113,0.009816239,1900.588161,0.131878295,3648.127054,1.735546523
11/4/1977,165.9367197,11,1977.841553,0.171373142,0.005532849,2456.965184,0.122074334,3144.487383,0.138529762,0.00989025,1986.091863,0.132989031,3654.91359,1.787551072
11/5/1977,171.8832575,11,1977.844292,0.167702447,0.005414339,2490.500991,0.122361498,3147.706227,0.139554602,0.009963418,2072.485407,0.134059897,3662.236472,1.84019096
11/6/1977,174.1486052,11,1977.847032,0.166537284,0.005376721,2505.793169,0.1219463,3166.861226,0.140610496,0.010038803,2115.687319,0.135029124,3708.861686,1.867086302
11/7/1977,175.5644475,11,1977.849772,0.165938008,0.005357373,2517.075196,0.12287996,3164.983146,0.141672381,0.010114615,2148.995512,0.136180448,3711.634189,1.887980266
11/8/1977,176.9802898,11,1977.852511,0.165345639,0.005338249,2528.316211,0.123109817,3177.123913,0.142731281,0.010190215,2182.517865,0.137219436,3752.267703,1.908906025
11/9/1977,178.3961321,11,1977.855251,0.164760064,0.005319343,2539.517024,0.122611042,3192.097349,0.143787231,0.010265604,2216.253823,0.138243829,3800.106533,1.929863083
11/10/1977,176.1307844,11,1977.857991,0.166528957,0.005376452,2534.187667,0.122397782,3213.782075,0.144898138,0.010344916,2205.016359,0.139266426,3877.857414,1.924115653
11/11/1977,176.6971213,11,1977.860731,0.166483228,0.005374976,2541.638053,0.121512095,3259.640418,0.145966165,0.010421167,2228.411615,0.14014425,4018.89715,1.938830486
11/12/1977,183.4931645,11,1977.86347,0.162516062,0.005246895,2576.498674,0.121380551,3291.20908,0.146855221,0.010484641,2328.214685,0.141113057,4133.365239,1.998256485
11/13/1977,174.7149421,11,1977.86621,0.16840196,0.005436923,2542.090065,0.121065036,3332.635578,0.148158309,0.010577674,2236.504638,0.14207243,4273.704866,1.945525828
11/14/1977,176.4139529,11,1977.86895,0.167621388,0.005411722,2554.912945,0.119897035,3388.527657,0.149202921,0.010652254,2274.175625,0.142910564,4438.528293,1.968366763
11/15/1977,178.3961321,11,1977.871689,0.166670257,0.005381014,2568.959643,0.120168919,3421.249327,0.150238144,0.010726163,2315.684484,0.143957117,4574.256367,1.993334736
11/16/1977,177.8297952,11,1977.874429,0.167350076,0.005402963,2571.249292,0.119754878,3448.001075,0.151325892,0.010803822,2325.045813,0.144963355,4685.409572,1.999610731
11/17/1977,178.9624691,11,1977.877169,0.166878412,0.005387735,2580.333634,0.119427732,3482.629918,0.152112701,0.010859996,2352.020944,0.145854759,4816.587471,2.015688647
