chng_est low_conf up_conf
-46436.1681062249 -87085.7188859953 2231.4751299012
-129642.489723217 -303836.322257817 -60199.9529382928
-229900.634323227 -777935.282968524 -132092.16332884
-455697.413538382 -812031.291948117 -207606.957852341
-376062.978226994 -663559.915511809 -197981.47935888
-334127.374520859 -687377.915190135 -139782.090288999
-98286.1163460666 -276441.783175948 -26681.47309343
131929.574851202 20151.0489413592 453511.073745097
341266.640090875 154714.917675396 482109.538016048
189454.246603724 105298.482967766 315176.90898604
181704.226878306 82865.537853994 549220.795744434
80352.7444511052 -6926.46678176757 254878.757313561
