"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1977-11-01,154.326812709292,46690,11,306,1977.83333333333,1535,1978,1,5.03907251426179,NA,NA,-1.7906679628471,0.366185341983476,0.178625463451762,2381.76274549512,0.121190670056012,3130.8476091215
"2",1977-11-02,154.043644245605,46691,11,307,1977.83607305936,1535,1978,2,5.03723596645449,NA,NA,-1.78771090938739,0.366443696221532,0.179156076251704,2384.45466116163,0.121397489206033,3136.7328254551
"3",1977-11-03,159.990181983027,46692,11,308,1977.83881278539,1535,1978,3,5.07511245074498,NA,NA,-1.81176477558891,0.366472552178222,0.175187379462318,2421.64172632083,0.121653674278711,3143.12123356639
"4",1977-11-04,165.936719720449,46693,11,309,1977.84155251142,1535,1978,4,5.11160650917556,NA,NA,-1.83480093807209,0.366527350559081,0.171373142036592,2456.96518406062,0.122074334286409,3144.48738342272
"5",1977-11-05,171.883257457872,46694,11,310,1977.84429223744,1535,1978,5,5.14681551065804,NA,NA,-1.85688973608809,0.366606575044714,0.167702447419657,2490.50099054719,0.122361498353601,3147.70622668064
"6",1977-11-06,174.148605167366,46695,11,311,1977.84703196347,1535,1978,6,5.15990898740506,NA,NA,-1.86393449049615,0.366814093210009,0.166537284183091,2505.79316870034,0.121946299934995,3166.86122613901
"7",1977-11-07,175.5644474858,46696,11,312,1977.8497716895,1535,1978,7,5.16800619763768,165.127666967059,NA,-1.86757503432486,0.367051872384046,0.165938008431981,2517.07519589081,0.122879960040143,3164.98314582587
"8",1977-11-08,176.980289804233,46697,11,313,1977.85251141553,1535,1978,8,5.17603836933494,168.363877980622,NA,-1.87115479495828,0.367293863481405,0.165345639025605,2528.31621133017,0.123109817073559,3177.12391285667
"9",1977-11-09,178.396132122667,46698,11,314,1977.85525114155,1535,1978,9,5.18400653898412,171.842804820202,NA,-1.87467467430611,0.36754001485611,0.164760064035908,2539.51702435777,0.122611041780422,3192.09734901325
"10",1977-11-10,176.130784413173,46699,11,315,1977.85799086758,1535,1978,10,5.17122681233772,174.148605167366,NA,-1.86421969397257,0.367874335223649,0.166528956755851,2534.18766747109,0.122397782029124,3213.78207459398
"11",1977-11-11,176.697121340547,46700,11,316,1977.86073059361,1535,1978,11,5.17443708796797,175.685805398808,NA,-1.86453203832434,0.368141361366232,0.166483227727752,2541.63805266037,0.121512095409856,3259.64041808197
"12",1977-11-12,183.493164469029,46701,11,317,1977.86347031963,1535,1978,12,5.21217741595082,177.344363543259,NA,-1.887995889079,0.368286317257226,0.16251606206399,2576.4986740464,0.121380551188901,3291.20908022692
"13",1977-11-13,174.714942094739,46702,11,318,1977.86621004566,1535,1978,13,5.16315574350393,177.425268818598,NA,-1.85328300369925,0.368739166335434,0.168401960115864,2542.09006456852,0.121065035838456,3332.6355780512
"14",1977-11-14,176.41395287686,46703,11,319,1977.86894977169,1535,1978,14,5.172833238386,177.546626731607,NA,-1.85791758650074,0.368986543854824,0.167621388181779,2554.9129447938,0.119897035351031,3388.52765691428
"15",1977-11-15,178.396132122667,46704,11,320,1977.87168949772,1535,1978,15,5.18400653898412,177.748889919955,NA,-1.86353048819747,0.369234331774927,0.166670257088589,2568.95964326836,0.120168918801737,3421.24932669729
