"","Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
"1",1979-10-17,0.21,0.21,1,0.21,47405,10,291,1979.79223744292,1558,1980,-0.964991415733932,0.262281466291123
"2",1979-11-27,0.12,0.12,1,0.12,47446,11,332,1979.90456621005,1559,1980,-0.564335563737908,0.825545499352166
"3",1979-12-18,0.16,0.16,1,0.16,47467,12,353,1979.96210045662,1560,1980,-0.235885668086349,0.971780814582927
"4",1980-02-27,0.07,0.07,1,0.07,47538,2,58,1980.15619307832,1562,1980,0.831270859747261,0.55586757212042
"5",1980-03-19,0.08,0.08,1,0.08,47559,3,79,1980.2135701275,1563,1980,0.97391757055427,0.226902106128764
"6",1980-04-29,0.15,0.15,1,0.15,47600,4,120,1980.32559198543,1564,1980,0.889311722270737,-0.457301498610987
"7",1980-05-28,0.14,0.14,1,0.14,47629,5,149,1980.40482695811,1565,1980,0.562982292351581,-0.826468957976377
"8",1980-06-23,0.13,0.13,1,0.13,47655,6,175,1980.47586520947,1566,1980,0.151062838017209,-0.988524162056844
"9",1980-07-16,0.05,0.05,1,0.05,47678,7,198,1980.53870673953,1567,1980,-0.240811255099199,-0.970571965089425
"10",1980-08-20,0.06,0.06,1,0.06,47713,8,233,1980.63433515483,1568,1980,-0.747342004780809,-0.664439559245385
"11",1980-09-17,0.08,0.08,1,0.08,47741,9,261,1980.71083788707,1569,1980,-0.969878985189157,-0.24358726175326
"12",1980-10-22,0.1,0.1,1,0.1,47776,10,296,1980.80646630237,1570,1981,-0.937720073049471,0.34739180272438
"13",1980-11-25,0.08,0.08,1,0.08,47810,11,330,1980.89936247723,1571,1981,-0.591021186093772,0.806656034247752
"14",1980-12-18,0.2,0.2,1,0.2,47833,12,353,1980.96220400729,1572,1981,-0.235253350380592,0.971934082710709
"15",1981-01-14,0.28,0.28,1,0.28,47860,1,14,1981.03607305936,1573,1981,0.22471808947987,0.974423819629075
"16",1981-03-27,0.04,0.04,1,0.04,47932,3,87,1981.23333333333,1575,1981,0.994521895368263,0.104528463267753
"17",1981-07-23,0.07,0.07,1,0.07,48050,7,205,1981.55662100457,1579,1981,-0.348303123553169,-0.937381957434165
"18",1981-08-27,0.2,0.2,1,0.2,48085,8,240,1981.65251141553,1580,1981,-0.81819095806614,-0.574946568072905
"19",1981-09-23,0.25,0.25,1,0.25,48112,9,267,1981.72648401826,1581,1981,-0.98910403466235,-0.147218234654073
"20",1981-11-30,NA,0.07,0,0.035,48180,11,335,1981.91278538813,1583,1982,-0.520968816803297,0.853575709541088
"21",1982-01-12,0.13,0.13,1,0.13,48223,1,12,1982.03059360731,1585,1982,0.191043683431548,0.981581535594933
"22",1982-04-01,0.09,0.09,1,0.09,48302,4,92,1982.24703196347,1588,1982,0.999826117595056,0.0186476426069439
"23",1982-05-19,0.09,0.09,1,0.09,48350,5,140,1982.37853881279,1589,1982,0.691210757568899,-0.722653228472017
"24",1982-07-21,0.12,0.12,1,0.12,48413,7,203,1982.55114155251,1591,1982,-0.315830521697585,-0.948815620425924
"25",1982-09-29,0.1,0.1,1,0.1,48483,9,273,1982.74292237443,1593,1982,-0.999011371023492,-0.044455377242395
"26",1982-12-20,0.06,0.06,1,0.06,48565,12,355,1982.96757990868,1596,1983,-0.202295620631613,0.979324502845339
"27",1983-03-09,NA,0.06,0,0.03,48644,3,69,1983.18401826484,1599,1983,0.915287404690578,0.402801398724962
"28",1983-06-08,NA,0.06,0,0.03,48735,6,160,1983.43333333333,1602,1983,0.406736643075561,-0.913545457642707
"29",1983-09-21,0.01,0.01,1,0.01,48840,9,265,1983.72100456621,1605,1983,-0.983450403446217,-0.1811775481716
"30",1984-02-09,0.01,0.01,1,0.01,48981,2,40,1984.10701275046,1610,1984,0.622850458535489,0.782340914373095
"31",1984-03-06,NA,0.01,0,0.005,49007,3,66,1984.17805100182,1611,1984,0.899545280833658,0.436827526296015
"32",1984-06-13,0.03,0.03,1,0.03,49106,6,165,1984.4485428051,1614,1984,0.317711628074443,-0.948187387274418
"33",1984-08-30,NA,0.01,0,0.005,49184,8,243,1984.6616575592,1616,1984,-0.849862537124406,-0.527004428816749
"34",1984-12-19,NA,0.01,0,0.005,49295,12,354,1984.96493624772,1620,1985,-0.218534144294203,0.975829302581963
"35",1985-03-20,0.03,0.03,1,0.03,49386,3,80,1985.21415525114,1623,1985,0.974745178877208,0.22332003102194
"36",1985-06-12,0.02,0.02,1,0.02,49470,6,164,1985.44429223744,1626,1985,0.342918656932692,-0.939365101931873
"37",1985-10-22,0.03,0.03,1,0.03,49602,10,296,1985.80593607306,1630,1986,-0.938872212860448,0.344265839023457
"38",1985-12-18,0.04,0.04,1,0.04,49659,12,353,1985.96210045662,1632,1986,-0.235885668086033,0.971780814583004
"39",1986-03-20,0.03,0.03,1,0.03,49751,3,80,1986.21415525114,1635,1986,0.974745178877355,0.223320031021296
"40",1986-06-10,0.03,0.03,1,0.03,49833,6,162,1986.43881278539,1638,1986,0.375049904300437,-0.927004622040383
"41",1986-09-03,0.03,0.03,1,0.03,49918,9,247,1986.67168949772,1641,1986,-0.881371231215929,-0.472424335513019
"42",1986-10-20,NA,0.01,0,0.005,49965,10,294,1986.800456621,1642,1987,-0.950166022887847,0.311744332666195
"43",1986-11-04,0.01,0.01,1,0.01,49980,11,309,1986.84155251142,1643,1987,-0.839060999210918,0.54403735129417
"44",1986-11-17,NA,0.01,0,0.005,49993,11,322,1986.87716894977,1643,1987,-0.697405028600829,0.716677211917804
"45",1986-12-09,NA,0.01,0,0.005,50015,12,344,1986.93744292237,1644,1987,-0.383014738017548,0.923742231610826
"46",1986-12-23,NA,0.01,0,0.005,50029,12,358,1986.97579908676,1644,1987,-0.151473518466483,0.98846131598732
"47",1987-01-09,0.05,0.05,1,0.05,50046,1,9,1987.02237442922,1645,1987,0.140120074885055,0.990134518443937
"48",1987-01-28,0.02,0.02,1,0.02,50065,1,28,1987.07442922374,1645,1987,0.45079217664711,0.89262893380943
"49",1987-02-09,0.02,0.02,1,0.02,50077,2,40,1987.10730593607,1646,1987,0.624290582057989,0.781192210120978
"50",1987-02-23,0.01,0.01,1,0.01,50091,2,54,1987.14566210046,1646,1987,0.792697922197949,0.609614635768413
"51",1987-03-12,0.03,0.03,1,0.03,50108,3,72,1987.19223744292,1647,1987,0.934859632589928,0.355017559219013
"52",1987-04-01,0.06,0.06,1,0.06,50128,4,92,1987.24703196347,1648,1987,0.99982611759505,0.018647642607279
"53",1987-04-20,0.02,0.02,1,0.02,50147,4,111,1987.29908675799,1648,1987,0.952814010399762,-0.303554709378594
"54",1987-05-04,0.02,0.02,1,0.02,50161,5,125,1987.33744292237,1649,1987,0.852827492812898,-0.522192749377533
"55",1987-05-26,0.04,0.04,1,0.04,50183,5,147,1987.39771689498,1649,1987,0.599329864791326,-0.800502163125879
"56",1987-06-10,0.01,0.01,1,0.01,50198,6,162,1987.43881278539,1650,1987,0.375049904299825,-0.92700462204063
"57",1987-06-22,NA,0.01,0,0.005,50210,6,174,1987.47168949772,1650,1987,0.176943553947368,-0.984221000952771
"58",1987-07-07,0.04,0.04,1,0.04,50225,7,189,1987.51278538813,1651,1987,-0.0802465874522959,-0.996775042425452
"59",1987-07-24,0.01,0.01,1,0.01,50242,7,206,1987.55936073059,1651,1987,-0.364387008173809,-0.931247608466266
"60",1987-08-03,NA,0.01,0,0.005,50252,8,216,1987.58675799087,1652,1987,-0.518517737959823,-0.855066871900104
"61",1987-08-20,NA,0.01,0,0.005,50269,8,233,1987.63333333333,1652,1987,-0.743144825477478,-0.669130606358765
"62",1987-09-01,0.03,0.03,1,0.03,50281,9,245,1987.66621004566,1653,1987,-0.864587324278359,-0.502482595417182
"63",1987-09-15,0.04,0.04,1,0.04,50295,9,259,1987.70456621005,1653,1987,-0.959529706382416,-0.28160742633971
"64",1987-10-01,0.04,0.04,1,0.04,50311,10,275,1987.74840182648,1654,1988,-0.999949583353975,-0.0100414515988347
"65",1987-10-14,0.02,0.02,1,0.02,50324,10,288,1987.78401826484,1654,1988,-0.977243786905381,0.21211926115945
"66",1987-11-12,0.02,0.02,1,0.02,50353,11,317,1987.86347031963,1655,1988,-0.756432369467857,0.65407191532831
"67",1987-11-24,0.04,0.04,1,0.04,50365,11,329,1987.89634703196,1655,1988,-0.60619758471175,0.795314081536119
"68",1987-12-09,0.03,0.03,1,0.03,50380,12,344,1987.93744292237,1656,1988,-0.383014738016937,0.923742231611079
"69",1987-12-22,0.03,0.03,1,0.03,50393,12,357,1987.97305936073,1656,1988,-0.168465812708862,0.98570749715539
"70",1988-01-13,0.01,0.01,1,0.01,50415,1,13,1988.03324225865,1657,1988,0.207351922504775,0.978266415775158
"71",1988-02-02,0.01,0.01,1,0.01,50435,2,33,1988.0878870674,1658,1988,0.524570652128741,0.851366919092601
"72",1988-02-16,0.03,0.03,1,0.03,50449,2,47,1988.12613843352,1658,1988,0.712146575327424,0.702030807906193
"73",1988-03-08,NA,0.01,0,0.005,50470,3,68,1988.1835154827,1659,1988,0.914010360466702,0.405690844066672
"74",1988-03-29,NA,0.01,0,0.005,50491,3,89,1988.24089253188,1659,1988,0.998363158804352,0.0571926843415833
"75",1988-04-12,NA,0.01,0,0.005,50505,4,103,1988.279143898,1660,1988,0.983280968075399,-0.1820948594022
"76",1988-04-26,0.03,0.03,1,0.03,50519,4,117,1988.31739526412,1660,1988,0.911673886565403,-0.410914497863889
"77",1988-05-10,NA,0.01,0,0.005,50533,5,131,1988.35564663024,1661,1988,0.787658319038535,-0.61611230506247
"78",1988-06-07,0.02,0.02,1,0.02,50561,6,159,1988.43214936248,1662,1988,0.413521289560307,-0.910494449780107
"79",1988-06-20,0.02,0.02,1,0.02,50574,6,172,1988.46766848816,1662,1988,0.201750535194524,-0.979436941078252
"80",1988-07-06,0.02,0.02,1,0.02,50590,7,188,1988.51138433515,1663,1988,-0.0714689055726011,-0.997442828204331
"81",1988-07-26,0.02,0.02,1,0.02,50610,7,208,1988.5660291439,1663,1988,-0.403074024727873,-0.915167378455807
