chng_est low_conf up_conf
-504271.382765356 -672801.813227208 -307041.761214011
-679369.047775801 -1274001.57629967 -402385.015620642
-731198.554288211 -3079744.34242898 -452768.143235131
-1129742.52951365 -2400968.10308814 -378773.925192121
-985337.004007024 -1653044.73177532 -600186.570556836
-1102303.89507175 -1742100.40200184 -642954.973660371
-523958.181106619 -939604.480207685 -324740.061371547
-308040.895305718 -586275.625641576 190347.26488583
-92229.093293771 -373072.864381372 247263.644350703
-330981.447390388 -527312.502209714 -71127.8155003349
-276399.758624207 -517714.011874391 352967.333130745
-365385.017893427 -612682.795141648 -81461.9537679026
