DATE,Remark,OP_Conc
1974-10-02,,1.1
1974-10-08,,1.92
1974-10-16,,2.04
1974-11-06,,1.4
1974-11-12,,1.37
1974-11-18,,1.46
1974-12-05,,2
1974-12-17,,0.85
1975-01-09,,1.03
1975-01-21,,1.57
1975-02-03,,1.51
1975-03-03,,1.39
1975-03-18,,1.27
1975-04-01,,1.34
1975-04-18,,1.72
1975-05-01,,2.02
1975-05-15,,0.97
1975-06-05,,0.56
1975-06-17,,0.62
1975-06-25,,1.64
1975-07-01,,2.06
1975-07-15,,2.31
1975-07-23,,2.8
1975-08-06,,2.75
1975-08-12,,2.33
1975-08-26,,2.22
1975-09-02,,1.62
1975-09-11,,1.62
1975-09-25,,1.1
1975-10-01,,1.87
1975-10-10,,0.98
1975-10-23,,1.02
1975-11-04,,1.32
1975-11-25,,1.13
1975-12-02,,1.14
1975-12-22,,0.85
1976-01-07,,1.2
1976-01-20,,1.67
1976-02-03,,3
1976-02-17,,2.33
1976-03-01,,2.8
1976-03-09,,2.16
1976-03-22,,2.14
1976-04-01,,2.8
1976-04-05,,2.7
1976-04-19,,2.5
1976-05-06,,2.9
1976-05-20,,2.9
1976-06-03,,2.38
1976-06-17,,2.9
1976-06-30,,3.2
1976-07-07,,3.9
1976-07-19,,3.2
1976-07-29,,2.8
1976-08-03,,2.6
1976-08-26,,2.4
1976-09-14,,3.3
1976-09-23,,3.3
1976-09-27,,3.5
1976-10-01,,3.9
1976-10-12,,3.3
1976-10-28,,3.1
1976-11-02,,3.6
1976-11-09,,2.6
1976-12-02,,2.34
1976-12-14,,2.31
1977-01-25,,3.6
1977-02-01,,2.73
1977-02-23,,2.99
1977-03-09,,1.81
1977-03-28,,2.78
1977-04-01,,1.87
1977-04-12,,3.2
1977-04-25,,2.77
1977-05-10,,4.2
1977-05-24,,2.5
1977-06-06,,1.94
1977-06-22,,
1977-07-06,,2.3
1977-07-15,,2.59
1977-07-21,,2.52
1977-08-03,,3.8
1977-08-08,,3.1
1977-08-22,,2.8
1977-09-01,,1.69
1977-09-20,,3.3
1977-10-05,,3.4
1977-10-17,,
1977-11-02,,3.6
1977-11-15,,5.8
1977-12-14,,3.5
1978-01-11,,
1978-02-14,,3.2
1978-03-03,,2.15
