chng_est low_conf up_conf
-0.114732106401209 -0.196017526623951 -0.0768328840755699
-0.178805675288592 -0.286788008125261 -0.114864457953758
-0.272868348428189 -0.387637376289779 -0.139085168894671
-0.206751372351716 -0.309706736188092 -0.167236918053694
-0.148490581697535 -0.211067042770094 -0.108902053967633
-0.0790589551765735 -0.135048104018325 -0.0663273180930806
-0.0393565993361856 -0.0648725606409995 -0.0267966226248094
-0.0162151316207233 -0.0240121329727576 -0.00463085364846953
-0.0151757846159161 -0.0233837947625598 -0.00722464489554378
-0.0333638224045042 -0.0393649407935548 -0.0263008949662547
-0.0610763347180251 -0.0677675724586386 -0.0507957320095768
-0.0803124842383748 -0.109098027867306 -0.072039825207733
