chng_est low_conf up_conf
-23708.1664442977 -36120.1711636384 -18612.9587291402
-34159.9659768428 -47067.8414109942 -29739.9303184779
-54794.3222062454 -65196.6201529888 -44653.9539201867
-77447.1692197165 -151213.564012544 -49637.358127098
-66846.5323646917 -122669.265178098 -47771.1785353835
-66020.6401494492 -81925.2996667936 -35734.8304616163
-21368.5152577883 -75843.7434487725 -13708.7618245243
-9539.7090970709 -37804.2984398786 -565.966676090135
-4907.66410253004 -14775.3349505256 3896.4020887062
-2037.80187455811 -5788.48274376603 5308.47673770019
-4397.40016175808 -7943.76568025304 2474.73346339599
-11822.0126213245 -20000.2462972547 -6841.86396894716
