DecYear	Q	Conc	NO3 Flux	FNConc	NO3 FNFlux	PeriodLong	PeriodStart
1972.247636	43.46078865	1.025592778	3901.22362	0.880874848	5893.117882	12	10
1973.247119	92.81711419	0.881053858	6136.831442	0.911026509	5987.516405	12	10
1974.247032	108.3394784	0.784738635	6706.908844	0.942248211	6091.964351	12	10
1975.247032	110.0904681	0.771229419	6766.595232	0.975595384	6204.506307	12	10
1976.247636	59.75837163	1.147381127	4953.641867	1.011065036	6327.821602	12	10
1977.247119	16.29048776	1.444785118	2221.027981	1.050124318	6455.657066	12	10
1978.247032	175.1825192	1.031364862	7018.615343	1.085919295	6630.012825	12	10
1979.247032	102.2618298	0.99136648	7288.918911	1.122544793	6894.019053	12	10
1980.247636	233.7045036	0.731688933	10632.71935	1.175311998	7258.007903	12	10
1981.247119	69.05198753	1.327500336	7134.476865	1.25066528	7668.323119	12	10
1982.247032	214.1203552	0.875569967	10289.31538	1.310842473	7996.826995	12	10
1983.247032	602.5995584	0.397140001	17462.10912	1.357311316	8268.68707	12	10
1984.247636	245.9735897	0.911596608	12673.40857	1.409446758	8587.030271	12	10
1985.247119	82.43538251	1.367223286	9215.877624	1.406937753	8889.936425	12	10
1986.247032	204.4569404	1.126370382	12103.20993	1.383691128	9069.730022	12	10
1987.247032	70.93796708	1.534478647	9062.62188	1.38416938	9029.115837	12	10
1988.247636	45.5731016	1.725120544	6799.546278	1.334602074	8848.57712	12	10
1989.247119	41.41808143	1.663155098	5994.104119	1.286333964	8729.620528	12	10
1990.247032	35.81778502	1.594056412	5054.492048	1.26826317	8727.990648	12	10
1991.247032	25.70184379	1.389290654	3279.123288	1.261997686	8806.235946	12	10
1992.247636	27.3180199	1.365046957	3592.446223	1.258097095	8908.446966	12	10
1993.247119	66.60479136	1.44526136	8139.323322	1.252819854	8861.97245	12	10
1994.247032	47.70558503	1.578316546	6533.009275	1.283771514	9093.323345	12	10
1995.247032	246.4415915	1.018743716	13002.95269	1.338928406	9441.144612	12	10
1996.247636	153.8865863	1.222921623	12593.41476	1.362661991	9646.827525	12	10
1997.247119	264.8889696	1.178950466	16137.84189	1.389920156	9800.669011	12	10
1998.247032	332.0999742	0.924926946	16780.46844	1.461712609	10037.1374	12	10
1999.247032	139.5562802	1.275803529	13065.3495	1.575420844	10287.41099	12	10
2000.247636	111.0105483	1.536866622	11453.55961	1.667054156	10338.64859	12	10
2001.247119	67.75329161	1.764906839	9707.269634	1.723974364	10088.98969	12	10
2002.247032	54.59185416	1.876949097	8490.104433	1.650832968	9540.480353	12	10
2003.247032	53.38617715	1.786486063	8006.338335	1.555210399	9052.835469	12	10
2004.247636	53.55899385	1.694034632	7488.926697	1.46126749	8602.76816	12	10
2005.247119	148.1296903	1.141799668	9970.238936	1.384148851	8270.172131	12	10
2006.247032	287.5129661	0.85918686	11397.64111	1.314269706	7980.550596	12	10
2007.247032	62.42949176	1.387950448	7301.768895	1.252907801	7674.598917	12	10
2008.247636	48.13639514	1.465757925	5858.833439	1.199637137	7396.881547	12	10
2009.247119	33.84879444	1.499101948	4292.596062	1.151163273	7148.365779	12	10
2010.247032	71.36000446	1.239717028	6354.239682	1.102335651	6913.407813	12	10
2011.247032	267.1139755	0.675997024	10475.65935	1.042471059	6640.430195	12	10
2012.247636	57.64729657	1.109980068	5113.633921	0.9761983	6359.191698	12	10
2013.247119	41.87828837	1.111579962	3964.845726	0.927195266	6137.905234	12	10
2014.247032	24.65474112	1.048389719	2252.359403	0.89356765	5982.073977	12	10
2015.247032	16.52389616	0.911843146	1612.510981	0.856686179	5790.937109	12	10
2016.247636	28.4848906	0.924207688	2171.943614	0.816439776	5582.810546	12	10
2017.247119	346.1497848	0.605214393	9564.565552	0.775980402	5364.001408	12	10
2018.247032	72.94427383	0.809304097	4194.192818	0.736725179	5153.49319	12	10
