chng_est low_conf up_conf
-115912.694162709 -147863.688323279 -18354.4736982656
-102804.988520261 -139673.332427969 -30284.8649487275
-99585.1694498217 -138080.2914861 -26247.7309368828
-97200.0722792434 -180405.467094986 -46367.7804583406
-143851.400977987 -199746.044803576 -91327.8497096975
-161433.087495455 -237006.203456071 -34517.1235256905
-34721.3144585406 -125368.945366018 92853.6863857069
20367.2192816165 -76827.3726884619 119602.563090518
46810.4454051198 -41371.4673868711 208310.983873117
63742.4530039566 -12490.1843825027 157995.535330313
27820.4737055202 -35949.0712176521 100700.861202606
-81921.1499401797 -126515.90229615 11641.8783873281
