"","Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
"1",1971-10-14,1.3,1.3,1,1.3,44480,10,288,1971.78401826484,1462,1972,-0.977243786905307,0.212119261159787
"2",1971-11-17,1.2,1.2,1,1.2,44514,11,322,1971.87716894977,1463,1972,-0.697405028601412,0.716677211917237
"3",1971-12-15,0.85,0.85,1,0.85,44542,12,350,1971.95388127854,1464,1972,-0.285734191419507,0.958308912540127
"4",1972-01-12,0.7,0.7,1,0.7,44570,1,12,1972.03051001821,1465,1972,0.190528124841453,0.981681737450789
"5",1972-02-16,1.2,1.2,1,1.2,44605,2,47,1972.12613843352,1466,1972,0.712146575327666,0.702030807905948
"6",1972-03-15,1.4,1.4,1,1.4,44633,3,75,1972.20264116576,1467,1972,0.956053443919477,0.293192449373627
"7",1972-04-12,1.8,1.8,1,1.8,44661,4,103,1972.279143898,1468,1972,0.983280968075336,-0.182094859402539
"8",1972-06-23,0.22,0.22,1,0.22,44733,6,175,1972.47586520947,1470,1972,0.151062838017039,-0.98852416205687
"9",1972-07-20,0.79,0.79,1,0.79,44760,7,202,1972.54963570128,1471,1972,-0.306839259860394,-0.951761350659043
"10",1972-08-10,0.61,0.61,1,0.61,44781,8,223,1972.60701275046,1472,1972,-0.622850458535239,-0.782340914373295
"11",1972-09-21,0.64,0.64,1,0.64,44823,9,265,1972.72176684882,1473,1972,-0.98430688127464,-0.176465190548707
"12",1972-10-19,0.9,0.9,1,0.9,44851,10,293,1972.79826958106,1474,1973,-0.954360037940742,0.298658530736603
"13",1972-11-15,1.3,1.3,1,1.3,44878,11,320,1972.87204007286,1475,1973,-0.720134350418975,0.69383464697768
"14",1972-12-14,0.86,0.86,1,0.86,44907,12,349,1972.95127504554,1476,1973,-0.301387915178903,0.953501612260889
"15",1973-01-24,1.1,1.1,1,1.1,44948,1,24,1973.06347031963,1477,1973,0.388308899937807,0.92152927149879
"16",1973-02-23,0.72,0.72,1,0.72,44978,2,54,1973.14566210046,1478,1973,0.792697922197855,0.609614635768534
"17",1973-04-18,0.84,0.84,1,0.84,45032,4,109,1973.29360730594,1480,1973,0.962698215834567,-0.270577429267375
"18",1973-05-17,0.68,0.68,1,0.68,45061,5,138,1973.37305936073,1481,1973,0.715676035354087,-0.698432396456419
"19",1973-06-15,0.52,0.52,1,0.52,45090,6,167,1973.45251141553,1482,1973,0.293971769401571,-0.955814102634456
"20",1973-07-19,0.93,0.93,1,0.93,45124,7,201,1973.54566210046,1483,1973,-0.282983597977287,-0.959124748547252
"21",1973-08-16,1.1,1.1,1,1.1,45152,8,229,1973.62237442922,1484,1973,-0.695345989562592,-0.718675138570425
"22",1973-09-20,1.4,1.4,1,1.4,45187,9,264,1973.71826484018,1485,1973,-0.980186020992467,-0.198079186819198
"23",1973-10-18,0.92,0.92,1,0.92,45215,10,292,1973.79497716895,1486,1974,-0.960333697550054,0.278853347388627
"24",1973-11-16,1.2,1.2,1,1.2,45244,11,321,1973.87442922374,1487,1974,-0.709638120618072,0.704566347312764
"25",1973-12-19,0.77,0.77,1,0.77,45277,12,354,1973.96484018265,1488,1974,-0.219123109811742,0.975697218785844
"26",1974-01-29,0.43,0.43,1,0.43,45318,1,29,1974.07716894977,1489,1974,0.466090526674069,0.884737034911894
"27",1974-02-22,0.84,0.84,1,0.84,45342,2,53,1974.14292237443,1490,1974,0.782086961603276,0.623169306440999
"28",1974-03-21,2.3,2.3,1,2.3,45369,3,81,1974.21689497717,1491,1974,0.978444847091513,0.206508307823355
"29",1974-04-18,0.64,0.64,1,0.64,45397,4,109,1974.29360730594,1492,1974,0.962698215834388,-0.270577429268011
"30",1974-05-24,0.75,0.75,1,0.75,45433,5,145,1974.39223744292,1493,1974,0.626529276918784,-0.779397886296611
"31",1974-06-20,0.6,0.6,1,0.6,45460,6,172,1974.46621004566,1494,1974,0.21071717037358,-0.977547070022591
"32",1974-07-25,0.93,0.93,1,0.93,45495,7,207,1974.56210045662,1495,1974,-0.380362917059986,-0.924837310733957
