Date,Remark,NO3_Conc
1971-03-02,,1.3
1971-04-15,,1.6
1971-05-13,,1
1971-06-10,,0.7
1971-09-14,,0.84
1971-10-14,,1.3
1971-11-17,,1.2
1971-12-15,,0.85
1972-01-12,,0.7
1972-02-16,,1.2
1972-03-15,,1.4
1972-04-12,,1.8
1972-06-23,,0.22
1972-07-20,,0.79
1972-08-10,,0.61
1972-09-21,,0.64
1972-10-19,,0.9
1972-11-15,,1.3
1972-12-14,,0.86
1973-01-24,,1.1
1973-02-23,,0.72
1973-04-18,,0.84
1973-05-17,,0.68
1973-06-15,,0.52
1973-07-19,,0.93
1973-08-16,,1.1
1973-09-20,,1.4
1973-10-18,,0.92
1973-11-16,,1.2
1973-12-19,,0.77
1974-01-29,,0.43
1974-02-22,,0.84
1974-03-21,,2.3
1974-04-18,,0.64
1974-05-24,,0.75
1974-06-20,,0.6
1974-07-25,,0.93
1974-08-22,,0.94
1974-09-19,,0.55
1974-10-02,,0.64
1974-10-08,,0.98
1974-10-16,,0.84
1974-11-06,,0.66
1974-11-12,,0.78
1974-11-18,,0.52
1974-12-05,,1
1974-12-17,,0.47
1975-01-09,,0.48
1975-01-21,,0.95
1975-02-03,,0.88
1975-03-03,,0.78
1975-03-18,,0.7
1975-04-01,,0.7
1975-04-18,,0.97
1975-05-01,,0.99
1975-05-15,,0.45
1975-06-05,,0.14
1975-06-17,,0.32
1975-06-25,,0.78
1975-07-01,,0.98
1975-07-15,,1.11
1975-07-23,,1.3
1975-08-06,,0.95
1975-08-12,,1.31
1975-08-26,,1.2
1975-09-02,,1.1
1975-09-11,,0.9
1975-09-25,,0.7
1975-10-01,,0.77
1975-10-10,,0.43
1975-10-23,,0.41
1975-11-04,,0.44
1975-11-25,,0.72
1975-12-02,,0.61
1975-12-22,,0.43
1976-01-07,,0.35
1976-01-20,,0.99
1976-02-03,,1.7
1976-02-17,,1.6
1976-03-01,,1.7
1976-03-09,,1.49
1976-03-22,,1.4
1976-04-01,,1.6
1976-04-05,,1.9
1976-04-19,,1.5
1976-05-06,,1.6
1976-05-20,,1.2
1976-06-03,,0.98
1976-06-17,,1.4
1976-06-30,,1.1
1976-07-07,,1.7
1976-07-19,,1.2
1976-07-29,,1.4
1976-08-03,,1.3
1976-08-26,,1.6
1976-09-14,,2
1976-09-23,,1.6
1976-09-27,,1.7
1976-10-01,,2.1
1976-10-12,,1.5
1976-10-28,,1.6
1976-11-02,,2
1976-11-09,,1.6
1976-12-02,,1.6
1976-12-14,,1.6
1977-01-25,,2.4
1977-02-01,,2.1
1977-02-23,,2.2
1977-03-09,,1.3
1977-03-28,,2
1977-04-01,,1.4
1977-04-12,,2.2
1977-04-25,,1.9
1977-05-10,,2.7
1977-05-24,,1.4
1977-06-06,,0.74
1977-06-22,,0.78
1977-07-06,,1.2
1977-07-15,,0.49
1977-07-21,,0.82
1977-08-03,,1.5
1977-08-08,,1.3
1977-08-22,,1.2
1977-09-01,,0.56
1977-09-20,,1.3
1977-10-05,,1.4
1977-10-17,,1.3
1977-11-02,,1.3
1977-11-15,,4.6
1977-12-14,,2
1978-01-11,,1.9
1978-02-14,,1.8
1978-03-03,,0.85
1978-03-14,,0.64
1978-03-29,,0.19
1978-04-03,,0.34
1978-04-17,,0.32
1978-05-01,,0.27
1978-05-16,,0.2
1978-06-05,,0.22
1978-06-12,,0.31
1978-06-26,,0.44
1978-07-06,,0.78
1978-07-10,,0.81
1978-07-24,,1.2
1978-08-02,,1.6
1978-08-08,,1.8
1978-08-21,,1.7
1978-09-11,,0.99
1978-09-25,,0.48
1978-10-04,,0.51
1978-10-10,,0.63
1978-10-23,,0.49
1978-11-01,,0.33
1978-11-20,,0.68
1978-12-05,,0.67
1979-01-05,,0.42
1979-01-16,,0.91
1979-02-15,,0.59
1979-03-05,,0.45
1979-03-09,,0.58
1979-03-19,,0.62
1979-04-02,,0.57
1979-04-10,,1.2
1979-04-17,,1.3
1979-05-01,,1.6
1979-05-21,,0.82
1979-05-30,,0.38
1979-06-04,,0.79
1979-06-18,,1.1
1979-07-02,,1.4
1979-07-16,,1.3
1979-07-24,,1.4
1979-08-13,,1.3
1979-08-30,,1.5
1979-09-11,,1.3
1979-09-19,,1.2
1979-10-15,,0.7
1979-11-08,,1.4
1979-12-04,,0.73
1980-01-08,,0.6
1980-02-04,,0.36
1980-03-25,,0.18
1980-04-04,,0.39
1980-05-16,,0.27
