chng_est low_conf up_conf
-13731.8480534199 -19596.4121765279 -451.52641961301
-16173.8731948056 -19864.903473619 -6431.34925461735
-19287.47004212 -22269.0762115807 -5239.3340928956
-23712.4617693939 -83676.1328322042 -15990.6572374715
-32880.9042835196 -58052.6339080976 -15180.6074424238
-49303.8117727203 -67686.0620769024 -20106.776031433
-17934.6653824359 -107316.607570075 -6513.21443265757
-9176.1924360037 -41408.6716599814 5226.57535739322
-3215.22242776865 -18900.1153986801 18498.2748500933
3140.35418027747 -8747.08174371191 56375.9313752952
3792.70407925163 -6168.47066811081 30712.8192756282
-796.645244339772 -10892.352708394 16503.9635450403
