chng_est low_conf up_conf
-14794.8535121536 -21569.8293618636 -8373.00234997711
-15663.4241071956 -20960.0402750939 -9980.44545655202
-21478.3710541869 -32315.5806961815 -12252.6306178449
-21960.361475418 -32729.6883991206 -12859.8950672042
-26269.8155486939 -73208.3971660812 -12335.1279503792
-30203.8011859805 -68094.8017978757 -19829.624635694
-15033.2885931845 -44885.0828116633 -5577.54861345852
-7806.34747002825 -23207.0306588532 3215.39947713102
-1739.78380273636 -12413.3424570276 45199.0950604796
190.413862407167 -10045.5966303924 28225.9019696837
-1881.45866963808 -11035.958289795 14857.1043887758
-10113.775890135 -17065.7290601461 -1977.63576796289
