chng_est low_conf up_conf
-2338842.57424685 -4911924.64446834 682992.052310857
-2276369.98444933 -3715585.32698407 -313202.897587434
-1709641.16970334 -3495155.46040913 1376262.27185724
-1315024.86283922 -6728435.94275258 2919261.20923441
-5966895.13382371 -15517008.1938662 -1509541.34008106
-9829460.9966965 -19057039.5522583 -6032679.03310871
-5778939.91202493 -14059165.9875673 -130258.815117114
-4346574.65090026 -12929145.514516 4509159.22257732
-681109.224850135 -7419414.6653745 22526778.3488314
6274865.71829637 -1729150.38391013 43677079.5368114
8790349.99918626 -903636.40658406 32668395.5850956
-1926318.29601259 -7114066.0467628 5971660.9041189
