Date,Remarks,SSC_Conc
1/15/1985,,24
2/25/1985,,38
5/14/1985,,127
6/28/1985,,119
7/16/1985,,96
7/30/1985,,86
8/13/1985,,98
8/26/1985,,94
9/10/1985,,98
9/25/1985,,96
10/9/1985,,90
10/22/1985,,56
11/5/1985,,54
12/3/1985,,59
12/17/1985,,27
1/7/1986,,43
1/22/1986,,45
2/4/1986,,66
2/14/1986,,146
2/15/1986,,379
2/17/1986,,274
2/18/1986,,657
2/19/1986,,540
2/20/1986,,462
2/21/1986,,194
2/22/1986,,179
2/23/1986,,176.5
2/24/1986,,98
2/25/1986,,80
2/26/1986,,66
2/27/1986,,59
2/28/1986,,58
3/1/1986,,61
3/2/1986,,67
3/3/1986,,79
3/4/1986,,68
3/5/1986,,73
3/6/1986,,74
3/7/1986,,71
3/8/1986,,78
3/9/1986,,75
3/10/1986,,100
3/11/1986,,106
3/12/1986,,93
3/13/1986,,74
3/14/1986,,56
3/15/1986,,65
3/16/1986,,63
3/17/1986,,75
3/18/1986,,50.5
3/19/1986,,53
3/20/1986,,47
3/21/1986,,39
3/22/1986,,37
3/23/1986,,36
3/24/1986,,35
3/25/1986,,36
3/26/1986,,39
3/27/1986,,38
3/28/1986,,41
3/29/1986,,38
3/30/1986,,39
3/31/1986,,46
4/1/1986,,53.5
4/2/1986,,44
4/3/1986,,47
4/4/1986,,49
4/5/1986,,45
4/6/1986,,49
4/7/1986,,40
4/8/1986,,49
4/9/1986,,43
4/10/1986,,48
4/11/1986,,46
4/12/1986,,42
4/13/1986,,48
4/14/1986,,52.5
4/15/1986,,56.3
4/16/1986,,52
4/17/1986,,49
4/18/1986,,47
4/19/1986,,69
4/20/1986,,62
4/21/1986,,60
4/22/1986,,63
4/23/1986,,77
4/24/1986,,79
4/25/1986,,78
4/26/1986,,81
4/27/1986,,81
4/28/1986,,84
4/29/1986,,86
4/30/1986,,108
5/1/1986,,88
5/2/1986,,80
5/3/1986,,84
5/4/1986,,83
5/5/1986,,83
5/6/1986,,76
6/2/1986,,79
6/16/1986,,91
8/25/1986,,67
9/23/1986,,68
10/21/1986,,56
10/22/1986,,62
11/21/1986,,34
12/16/1986,,40
1/16/1987,,29
1/22/1987,,26
2/19/1987,,103
3/9/1987,,129.6
3/25/1987,,63
4/23/1987,,80
5/18/1987,,100
6/17/1987,,132
7/13/1987,,112.5
7/21/1987,,127
8/17/1987,,111
8/21/1987,,100
9/21/1987,,54
10/22/1987,,45
11/16/1987,,36
11/19/1987,,51
11/27/1987,,32
12/17/1987,,21
1/11/1988,,42
1/22/1988,,82
2/19/1988,,39
3/16/1988,,69
5/19/1988,,46
7/18/1988,,103
8/24/1988,,113
8/26/1988,,115
9/19/1988,,45
9/28/1988,,48
10/13/1988,,43
11/14/1988,,34
12/12/1988,,29
1/9/1989,,34
2/13/1989,,60
3/13/1989,,94
4/11/1989,,75
5/15/1989,,70
6/13/1989,,119
7/10/1989,,119
8/15/1989,,153
9/26/1989,,84
12/11/1989,,31
1/8/1990,,33
2/12/1990,,63
3/12/1990,,54
4/3/1990,,54.2
5/18/1990,,51
6/15/1990,,55
7/13/1990,,126
8/10/1990,,88
9/19/1990,,48.8
10/15/1990,,36
11/13/1990,,21
12/11/1990,,21
1/9/1991,,35
2/13/1991,,51
3/12/1991,,90
4/17/1991,,65
5/14/1991,,68
6/19/1991,,114
7/16/1991,,132
9/11/1991,,72
11/6/1991,,66.5
1/14/1992,,28
2/27/1992,,115
3/18/1992,,79.4
4/2/1992,,82
4/29/1992,,111
5/6/1992,,82
5/13/1992,,64
5/20/1992,,38
5/27/1992,,65
6/3/1992,,45
6/10/1992,,71
6/17/1992,,49
6/24/1992,,78
7/2/1992,,57
7/8/1992,,83
7/15/1992,,105.5
7/22/1992,,52
7/29/1992,,53
8/5/1992,,108
8/12/1992,,63
8/19/1992,,32
8/26/1992,,58
9/15/1992,,28.6
11/17/1992,,33
12/16/1992,,18
12/22/1992,,32
1/6/1993,,49
1/12/1993,,198
1/13/1993,,278
1/16/1993,,232
1/22/1993,,193
1/23/1993,,154
1/29/1993,,56
2/4/1993,,53
2/11/1993,,150
2/26/1993,,180
3/5/1993,,91
3/12/1993,,59
