"","Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
"1",1971-03-02,1.3,1.3,1,1.3,44254,3,62,1971.16484018265,1455,1971,0.860230433064647,0.509905483427478
"2",1971-04-15,1.6,1.6,1,1.6,44298,4,106,1971.28538812785,1456,1971,0.975381879111148,-0.220522538307551
"3",1971-05-13,1,1,1,1,44326,5,134,1971.36210045662,1457,1971,0.762033945484336,-0.647537076876357
"4",1971-06-10,0.7,0.7,1,0.7,44354,6,162,1971.43881278539,1458,1971,0.375049904299505,-0.92700462204076
"5",1971-09-14,0.84,0.84,1,0.84,44450,9,258,1971.70182648402,1461,1971,-0.954540132776338,-0.298082429739379
"6",1971-10-14,1.3,1.3,1,1.3,44480,10,288,1971.78401826484,1462,1972,-0.977243786905307,0.212119261159787
"7",1971-11-17,1.2,1.2,1,1.2,44514,11,322,1971.87716894977,1463,1972,-0.697405028601412,0.716677211917237
"8",1971-12-15,0.85,0.85,1,0.85,44542,12,350,1971.95388127854,1464,1972,-0.285734191419507,0.958308912540127
"9",1972-01-12,0.7,0.7,1,0.7,44570,1,12,1972.03051001821,1465,1972,0.190528124841453,0.981681737450789
"10",1972-02-16,1.2,1.2,1,1.2,44605,2,47,1972.12613843352,1466,1972,0.712146575327666,0.702030807905948
"11",1972-03-15,1.4,1.4,1,1.4,44633,3,75,1972.20264116576,1467,1972,0.956053443919477,0.293192449373627
"12",1972-04-12,1.8,1.8,1,1.8,44661,4,103,1972.279143898,1468,1972,0.983280968075336,-0.182094859402539
"13",1972-06-23,0.22,0.22,1,0.22,44733,6,175,1972.47586520947,1470,1972,0.151062838017039,-0.98852416205687
"14",1972-07-20,0.79,0.79,1,0.79,44760,7,202,1972.54963570128,1471,1972,-0.306839259860394,-0.951761350659043
"15",1972-08-10,0.61,0.61,1,0.61,44781,8,223,1972.60701275046,1472,1972,-0.622850458535239,-0.782340914373295
"16",1972-09-21,0.64,0.64,1,0.64,44823,9,265,1972.72176684882,1473,1972,-0.98430688127464,-0.176465190548707
"17",1972-10-19,0.9,0.9,1,0.9,44851,10,293,1972.79826958106,1474,1973,-0.954360037940742,0.298658530736603
"18",1972-11-15,1.3,1.3,1,1.3,44878,11,320,1972.87204007286,1475,1973,-0.720134350418975,0.69383464697768
