"","Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
"1",1985-10-09,90,90,1,90,49589,10,283,1985.7703196347,1630,1986,-0.991860990954023,0.127325467302121
"2",1985-10-22,56,56,1,56,49602,10,296,1985.80593607306,1630,1986,-0.938872212860448,0.344265839023457
"3",1985-11-05,54,54,1,54,49616,11,310,1985.84429223744,1631,1986,-0.829571974579591,0.558399802106088
"4",1985-12-03,59,59,1,59,49644,12,338,1985.92100456621,1632,1986,-0.47621297558444,0.879329973266585
"5",1985-12-17,27,27,1,27,49658,12,352,1985.95936073059,1632,1986,-0.252578328346667,0.967576450751879
"6",1986-01-07,43,43,1,43,49679,1,7,1986.01689497717,1633,1986,0.105955013985179,0.99437092425885
"7",1986-01-22,45,45,1,45,49694,1,22,1986.05799086758,1633,1986,0.356358265689501,0.93434939207706
"8",1986-02-04,66,66,1,66,49707,2,35,1986.09360730594,1634,1986,0.554824536414826,0.831967387457028
"9",1986-02-14,146,146,1,146,49717,2,45,1986.12100456621,1634,1986,0.68913459865068,0.724633358977191
"10",1986-02-15,379,379,1,379,49718,2,46,1986.12374429224,1634,1986,0.701505868014692,0.712663677439052
"11",1986-02-17,274,274,1,274,49720,2,48,1986.12922374429,1634,1986,0.725621188477509,0.688094390932296
"12",1986-02-18,657,657,1,657,49721,2,49,1986.13196347032,1634,1986,0.737358093688957,0.675502066370924
"13",1986-02-19,540,540,1,540,49722,2,50,1986.13470319635,1634,1986,0.748876503783728,0.662709575968735
"14",1986-02-20,462,462,1,462,49723,2,51,1986.13744292237,1634,1986,0.760173005607142,0.649720710418102
"15",1986-02-21,194,194,1,194,49724,2,52,1986.1401826484,1634,1986,0.77124425176314,0.636539318598871
"16",1986-02-22,179,179,1,179,49725,2,53,1986.14292237443,1634,1986,0.782086961603682,0.62316930644049
"17",1986-02-23,176.5,176.5,1,176.5,49726,2,54,1986.14566210046,1634,1986,0.792697922197546,0.609614635768937
"18",1986-02-24,98,98,1,98,49727,2,55,1986.14840182648,1634,1986,0.803073989289264,0.595879323124261
"19",1986-02-25,80,80,1,80,49728,2,56,1986.15114155251,1634,1986,0.81321208822728,0.581967438574553
"20",1986-02-26,66,66,1,66,49729,2,57,1986.15388127854,1634,1986,0.823109214872974,0.567883104512889
"21",1986-02-27,59,59,1,59,49730,2,58,1986.15662100457,1634,1986,0.832762436493113,0.553630494432933
"22",1986-02-28,58,58,1,58,49731,2,59,1986.15936073059,1634,1986,0.842168892630858,0.539213831689167
"23",1986-03-01,61,61,1,61,49732,3,61,1986.16210045662,1635,1986,0.851325795951203,0.524637388248352
"24",1986-03-02,67,67,1,67,49733,3,62,1986.16484018265,1635,1986,0.860230433065062,0.509905483426778
"25",1986-03-03,79,79,1,79,49734,3,63,1986.16757990868,1635,1986,0.868880165335381,0.495022482607366
"26",1986-03-04,68,68,1,68,49735,3,64,1986.1703196347,1635,1986,0.877272429660767,0.479992795942913
"27",1986-03-05,73,73,1,73,49736,3,65,1986.17305936073,1635,1986,0.885404739233025,0.464820877052331
"28",1986-03-06,74,74,1,74,49737,3,66,1986.17579908676,1635,1986,0.893274684271602,0.449511221705832
"29",1986-03-07,71,71,1,71,49738,3,67,1986.17853881279,1635,1986,0.900879932742808,0.434068366483108
"30",1986-03-08,78,78,1,78,49739,3,68,1986.18127853881,1635,1986,0.90821823104891,0.41849688743214
"31",1986-03-09,75,75,1,75,49740,3,69,1986.18401826484,1635,1986,0.915287404690644,0.402801398724813
"32",1986-03-10,100,100,1,100,49741,3,70,1986.18675799087,1635,1986,0.922085358920874,0.38698655126989
"33",1986-03-11,106,106,1,106,49742,3,71,1986.18949771689,1635,1986,0.928610079359726,0.371057031346293
"34",1986-03-12,93,93,1,93,49743,3,72,1986.19223744292,1635,1986,0.934859632590339,0.35501755921793
"35",1986-03-13,74,74,1,74,49744,3,73,1986.19497716895,1635,1986,0.940832166735919,0.338872887724875
"36",1986-03-14,56,56,1,56,49745,3,74,1986.19771689498,1635,1986,0.946525912006288,0.322627800879998
"37",1986-03-15,65,65,1,65,49746,3,75,1986.200456621,1635,1986,0.951939181221196,0.306287112454832
"38",1986-03-16,63,63,1,63,49747,3,76,1986.20319634703,1635,1986,0.957070370311618,0.289855664549759
"39",1986-03-17,75,75,1,75,49748,3,77,1986.20593607306,1635,1986,0.961917958796074,0.27333832615569
"40",1986-03-18,50.5,50.5,1,50.5,49749,3,78,1986.20867579909,1635,1986,0.966480510229944,0.256739991714707
"41",1986-03-19,53,53,1,53,49750,3,79,1986.21141552511,1635,1986,0.970756672630242,0.240065579673267
"42",1986-03-20,47,47,1,47,49751,3,80,1986.21415525114,1635,1986,0.974745178877355,0.223320031021296
"43",1986-03-21,39,39,1,39,49752,3,81,1986.21689497717,1635,1986,0.978444847091272,0.206508307824498
"44",1986-03-22,37,37,1,37,49753,3,82,1986.2196347032,1635,1986,0.981854580980799,0.189635391757498
"45",1986-03-23,36,36,1,36,49754,3,83,1986.22237442922,1635,1986,0.984973370167477,0.172706282633038
"46",1986-03-24,35,35,1,35,49755,3,84,1986.22511415525,1635,1986,0.987800290487136,0.155725996909732
"47",1986-03-25,36,36,1,36,49756,3,85,1986.22785388128,1635,1986,0.990334504262528,0.138699566210903
"48",1986-03-26,39,39,1,39,49757,3,86,1986.23059360731,1635,1986,0.992575260551105,0.121632035837219
