chng_est low_conf up_conf
-160665.539946134 -223677.821738304 -75269.733830852
-138596.579925828 -209117.227507607 -83015.7236694197
-173908.010753144 -240411.058556939 -108738.471723204
-269257.559034484 -680700.036288036 -195857.403556487
-456934.705602642 -558208.49027945 -187105.652687591
-564933.813733311 -984423.364632336 -226417.070167342
-331350.612937667 -917030.064711415 -88764.6483598158
-258244.140702048 -769691.00543703 -33737.65793395
-110323.218843082 -321650.582279894 76750.349412601
-24277.1219615987 -105199.987372997 132519.625618053
-27537.5254765133 -91843.1791243782 77897.9858485384
-130284.846707281 -191632.4943779 -40560.0658674075
