Date,Q,Month,NO3ConcDay,NO3Concmm,NO3FluxDay,NO3FNConc,NO3FNFlux,TKNConcDay,TKNConcmm,TKNFluxDay,TKNFNConc,TKNFNFlux,TPConcDay,TPConcmm,TPFluxDay,TPFNConc,TPFNFlux,TNTPRatio
1973-02-01,137.9030418,2,0.804571434,0.057441898,9586.326076,1.13459859,9275.827977,1.345239437,0.096042568,16028.28953,1.210607518,18597.01553,0.175614689,0.005669789,2092.417898,0.206928739,2932.364382,27.07057912
1973-02-02,132.8060095,2,0.824696441,0.058878711,9462.929182,1.14385395,9192.568256,1.348469169,0.096273153,15472.92752,1.211738332,18264.78576,0.177113423,0.005718176,2032.277202,0.20749252,2872.547113,27.13310392
1973-02-03,129.9743248,2,0.837444881,0.059788878,9404.323172,1.149612044,9178.233197,1.352805617,0.096582751,15191.71172,1.215868955,18040.85659,0.178145174,0.005751486,2000.531407,0.208064216,2824.120484,27.18803726
1973-02-04,125.7267979,2,0.855730045,0.061094337,9295.620346,1.147673301,9227.225434,1.35647609,0.096844802,14735.12214,1.219711739,18189.64149,0.179538224,0.005796462,1950.286978,0.207930036,2818.842175,27.24750862
1973-02-05,117.7980809,2,0.88911825,0.063478068,9049.226998,1.143398881,9293.858386,1.358301589,0.096975133,13824.45969,1.225736507,18413.23065,0.181914965,0.005873196,1851.485799,0.207681081,2830.337156,27.31957336
1973-02-06,115.5327332,2,0.901183579,0.064339465,8995.63985,1.140336745,9367.382875,1.362993837,0.097310133,13605.44285,1.233466679,18706.09671,0.182920065,0.005905646,1825.913234,0.207584951,2851.061011,27.37204454
1973-02-07,133.9386833,2,0.83419212,0.059556649,9653.523339,1.14071649,9406.817184,1.377420222,0.098340096,15939.92312,1.237624565,18831.94695,0.178781054,0.005772016,2068.908393,0.20757499,2867.461929,27.35556199
1973-02-08,149.2297804,2,0.785545917,0.056083583,10128.39938,1.138725897,9512.954976,1.389227833,0.099183093,17911.9438,1.243432379,19218.04265,0.175812164,0.005676164,2266.825873,0.20801044,2970.056229,27.35415438
1973-02-09,138.7525472,2,0.822738978,0.058738959,9863.175932,1.128867674,9699.740673,1.390739897,0.099291046,16672.49596,1.252339953,19888.37199,0.178446638,0.005761219,2139.257573,0.208252709,3138.006962,27.42995786
1973-02-10,133.0891779,2,0.845299288,0.060349639,9720.016183,1.111025647,9903.126522,1.394119318,0.099532318,16030.84556,1.263754069,20721.30478,0.180133282,0.005815673,2071.335491,0.207535055,3254.235049,27.4915642
1973-02-11,150.3624542,2,0.789411688,0.056359577,10255.49673,1.109291669,10022.01339,1.406268673,0.100399714,18269.28077,1.270666643,21274.73861,0.176657184,0.005703446,2295.009308,0.208055154,3341.159441,27.48501285
1973-02-12,232.1981402,2,0.62597864,0.044691372,12558.33297,1.106175934,10184.24242,1.505781708,0.107504388,30208.87114,1.277310156,21975.5715,0.173063515,0.005587423,3471.986266,0.208644147,3470.612598,27.23898941
1973-02-13,314.3169947,2,0.54517434,0.038922397,14805.29318,1.097080689,10342.06526,1.632252377,0.116533686,44327.05877,1.288695478,22637.25122,0.178037657,0.005748015,4834.966589,0.208948767,3580.770355,27.04517562
1973-02-14,322.8120486,2,0.53918371,0.0384947,15038.35183,1.080022087,10477.7217,1.648817853,0.117716368,45987.11443,1.300717265,23173.22811,0.178554557,0.005764704,4980.058194,0.208123097,3623.173213,27.09784902
1973-02-15,325.6437332,2,0.539032842,0.038483929,15166.02242,1.078242983,10536.8273,1.654502592,0.118122227,46550.45383,1.306195029,23576.39044,0.179255428,0.005787331,5043.462353,0.208199842,3629.920586,27.06016674
1973-02-16,348.2972103,2,0.528906641,0.037760974,15916.32354,1.073989723,10568.4088,1.651828763,0.11793133,49708.28305,1.312236904,23870.22479,0.18416301,0.005945775,5541.995164,0.208247905,3617.701289,26.18536913
1973-02-17,365.2873182,2,0.520689678,0.037174329,16433.39544,1.062360774,10687.47165,1.647093446,0.117593255,51983.62683,1.320399592,24668.46165,0.18736192,0.006049053,5913.296641,0.208352539,3688.676483,25.58542482
1973-02-18,365.2873182,2,0.519806197,0.037111254,16405.51204,1.056975148,10808.03195,1.646140255,0.117525203,51953.54333,1.328986805,25585.71572,0.187058528,0.006039258,5903.721328,0.209173415,3779.09805,25.60520949
1973-02-19,339.8021564,2,0.530500745,0.037874785,15574.92167,1.049917732,10898.47495,1.652656449,0.117990422,48520.18586,1.335174122,26222.56988,0.181733176,0.005867327,5335.487289,0.209628978,3854.292175,26.56494499
1973-02-20,311.4853101,2,0.548164691,0.039135891,14752.3895,1.041159284,10989.40528,1.643659121,0.117348063,44234.69797,1.34099203,26807.63086,0.177665238,0.005735992,4781.385649,0.210019423,3937.150657,27.28106431
1973-02-21,288.831833,2,0.568713945,0.040602993,14192.29651,1.038859268,11082.87249,1.614627978,0.115275402,40293.15482,1.344043076,27455.99316,0.17671566,0.005705334,4409.951734,0.210849962,4019.64068,27.32151933
1973-02-22,276.3724206,2,0.580543437,0.041447553,13862.55124,1.034693003,11180.4495,1.598079974,0.114093967,38159.87593,1.347296065,28179.77637,0.176192149,0.005688432,4207.217833,0.211321576,4115.439534,27.34347723
1973-02-23,269.0100405,2,0.587619986,0.041952779,13657.73843,1.032689891,11252.42754,1.588292805,0.113395218,36915.84391,1.346936882,28820.83318,0.175893307,0.005678784,4088.194476,0.212115715,4215.939039,27.35585547
1973-02-24,258.5328073,2,0.598325407,0.042717086,13364.93496,1.032155775,11281.57435,1.573861547,0.112364907,35155.71453,1.342561603,28912.94641,0.17551318,0.005666512,3920.479064,0.212900445,4268.851526,27.36815978
1973-02-25,243.2417103,2,0.615095217,0.043914357,12926.89262,1.032322351,11226.11251,1.551709577,0.110783381,32610.85847,1.340966969,28657.36308,0.17500423,0.00565008,3677.903552,0.213189381,4257.853329,27.37974334
1973-02-26,219.7387278,2,0.643477903,0.045940721,12216.70216,1.023273839,11156.79843,1.514813117,0.10814918,28759.37246,1.340457069,28368.87931,0.174255586,0.00562591,3308.316554,0.212285377,4239.161151,27.38933097
1973-02-27,195.6694084,2,0.676092931,0.048269252,11429.91681,1.018558806,11069.99741,1.473207083,0.105178742,24905.79865,1.340852179,27975.20862,0.173535332,0.005602656,2933.760018,0.211700894,4167.458997,27.38843774
1973-02-28,191.9882184,2,0.681216394,0.048635039,11299.86908,1.043813929,10873.34615,1.467758713,0.104789759,24346.86167,1.338060488,27557.74691,0.173600814,0.00560477,2879.652467,0.213673547,4028.481033,27.37396817
1973-03-01,224.2694232,3,0.63654075,0.045445448,12334.17256,1.025545536,10884.68648,1.525683027,0.108925231,29562.97413,1.349155391,27464.19357,0.174719327,0.005640882,3385.515112,0.212622662,4047.035775,27.36640946
1973-03-02,218.039717,3,0.644225141,0.04599407,12136.32007,1.028335048,10825.52789,1.516643344,0.108279848,28571.48516,1.353182155,27296.61828,0.174672729,0.005639377,3290.595185,0.213438863,4019.907208,27.35655211
1973-03-03,205.0139677,3,0.661543874,0.047230531,11718.06346,1.028182724,10783.70022,1.495840299,0.106794627,26496.12856,1.358473852,27245.24045,0.174509026,0.005634092,3091.114473,0.213505819,3977.867296,27.33806194
1973-03-04,206.1466416,3,0.659637175,0.047094403,11748.84378,1.023831457,10782.54923,1.499149646,0.107030896,26701.45903,1.369908762,27332.71195,0.174690288,0.005639944,3111.420917,0.213297247,3951.218246,27.3274512
1973-03-05,209.8278316,3,0.654207042,0.046706722,11860.20101,1.014293727,10767.30335,1.506704993,0.107570305,27315.24262,1.379124528,27283.46188,0.174904608,0.005646864,3170.867433,0.212507209,3890.073736,27.32083496
1973-03-06,198.7842615,3,0.669501188,0.047798638,11498.65626,0.997060735,10833.12214,1.489178775,0.106319031,25576.58619,1.390481372,27503.76062,0.17490579,0.005646902,3003.999988,0.211314529,3876.582845,27.29242988
1973-03-07,189.1565337,3,0.683587971,0.048804356,11171.96333,0.987454257,10856.96785,1.473496155,0.10519938,24081.53113,1.393946847,27704.86916,0.174986036,0.005649493,2859.818583,0.210698216,3877.198308,27.25974687
1973-03-08,201.0496092,3,0.665609174,0.04752077,11562.08811,0.984929926,10814.33884,1.495956112,0.106802895,25985.78425,1.399911178,27465.74239,0.175280189,0.005658989,3044.737174,0.210827809,3825.689335,27.2705347
1973-03-09,235.0298249,3,0.619832404,0.044252565,12586.67435,0.985857028,10786.07197,1.550347014,0.110686101,31482.24082,1.404137007,27423.25882,0.175561919,0.005668085,3565.061595,0.211412924,3807.223969,27.3352753
