chng_est low_conf up_conf
-35179.0095879655 -50939.7613376375 -6136.62683208013
-29946.1247231821 -45238.5620343827 -15688.7414353871
-30296.6848427377 -42408.1532717641 -13006.2733637467
-32943.4330808603 -50698.3460260391 -21415.8755495806
-52741.034319874 -76507.2573532727 -25400.4639043105
-53724.0063490073 -92970.7473625878 -16313.6971948062
-26953.045019031 -48685.0217792084 8693.02342132752
-10935.3702280038 -35027.011193939 24284.2602670652
4792.02468068964 -24567.966310598 117124.26719841
19666.9819927305 -6046.98638538401 86227.4807195341
15779.8239097307 -9197.47039530394 61548.2576418201
-24694.2701182599 -36343.4720560447 2962.077512431
