DATE,Remarks,NO3
6/7/1990,,0.00669866
6/18/1990,,0.00350624
7/2/1990,,0.00727120
8/14/1990,,0.02381354
10/24/1990,,0.00496646
11/29/1990,,0.03346904
1/23/1991,,0.04480000
2/20/1991,,0.04000000
3/4/1991,,0.06340000
3/8/1991,,0.05110000
4/16/1991,,0.02002568
5/1/1991,,0.01596785
5/8/1991,,0.02002568
5/15/1991,,0.01556740
5/15/1991,,0.01702901
5/21/1991,,0.00784130
5/22/1991,,0.01381633
5/23/1991,,0.01516559
5/31/1991,,0.01107221
6/4/1991,,0.01716098
6/4/1991,,0.01912217
6/11/1991,,0.00583530
6/11/1991,,0.00698524
6/17/1991,,0.00511165
7/2/1991,,0.00755656
7/22/1991,,0.01516559
8/6/1991,,0.03189290
8/27/1991,,0.04100371
9/18/1991,,0.03097886
10/16/1991,,0.02589927
11/7/1991,,0.01093340
11/9/1991,,0.00684203
12/9/1991,,0.02529038
1/22/1992,,0.03685307
2/18/1992,,0.03155127
3/12/1992,,0.01951030
3/25/1992,,0.01190183
4/1/1992,,0.01449286
4/6/1992,,0.00698524
4/12/1992,,0.01503134
4/13/1992,,0.01529968
4/16/1992,,0.01610102
4/17/1992,,0.01556740
4/17/1992,,0.00727120
4/21/1992,,0.01556740
4/24/1992,,0.01636692
4/26/1992,,0.02541247
4/27/1992,,0.02053864
4/27/1992,,0.01886265
4/29/1992,,0.01529968
4/29/1992,,0.00452999
4/29/1992,,0.02130350
5/4/1992,,0.00641148
5/4/1992,,0.00423825
5/5/1992,,0.00409216
5/13/1992,,0.00953702
5/18/1992,,0.00379950
5/27/1992,,0.01023711
5/27/1992,,0.01976830
6/3/1992,,0.01449286
6/15/1992,,0.01516559
6/16/1992,,0.01107221
7/6/1992,,0.00379950
7/12/1992,,0.02492323
7/22/1992,,0.01408739
8/18/1992,,0.01847224
9/9/1992,,0.04019303
10/23/1992,,0.00995753
10/27/1992,,0.03820000
11/12/1992,,0.02516815
12/15/1992,,0.01162589
1/19/1993,,0.05190000
3/3/1993,,0.02638365
3/11/1993,,0.00554630
3/17/1993,,0.02381354
3/18/1993,,0.02244055
3/23/1993,,0.01860253
3/30/1993,,0.01742444
4/13/1993,,0.01408739
4/21/1993,,0.01462771
4/28/1993,,0.00995753
5/13/1993,,0.03588566
5/20/1993,,0.02344091
5/20/1993,,0.01476240
5/25/1993,,0.02281682
5/31/1993,,0.00939655
6/1/1993,,0.01272597
6/10/1993,,0.00496646
6/15/1993,,0.01190183
6/22/1993,,0.00612370
6/23/1993,,0.00335939
6/29/1993,,0.00365295
7/21/1993,,0.01203956
8/2/1993,,0.01190183
8/24/1993,,0.03166530
9/22/1993,,0.00321238
10/26/1993,,0.00452999
11/16/1993,,0.01435785
12/20/1993,,0.03822870
3/23/1994,,0.02430826
4/5/1994,,0.01489695
4/20/1994,,0.01037668
4/20/1994,,0.01009740
5/2/1994,,0.00365295
5/6/1994,,0.00911515
5/12/1994,,0.00727120
5/18/1994,,0.01327237
5/23/1994,,0.00784130
6/2/1994,,0.00911515
6/17/1994,,0.01449286
7/12/1994,,0.02758395
8/3/1994,,0.03685307
8/22/1994,,0.03302176
9/19/1994,,0.01245187
10/19/1994,,0.00379950
11/6/1994,,0.01107221
12/29/1994,,0.02281682
1/30/1995,,0.01368056
2/27/1995,,0.01134935
3/10/1995,,0.01203956
3/13/1995,,0.00583530
3/27/1995,,0.01299947
4/26/1995,,0.01134935
4/28/1995,,0.01272597
4/30/1995,,0.01327237
5/2/1995,,0.01543361
5/9/1995,,0.01354465
5/18/1995,,0.01689690
5/23/1995,,0.01676463
5/31/1995,,0.02455470
6/1/1995,,0.03268469
6/2/1995,,0.02923883
6/14/1995,,0.01176394
6/23/1995,,0.01051609
6/28/1995,,0.00423825
7/6/1995,,0.01121086
7/17/1995,,0.00511165
8/2/1995,,0.00741395
8/29/1995,,0.01963937
9/15/1995,,0.02638365
10/12/1995,,0.02269155
11/21/1995,,0.00482113
12/14/1995,,0.01395194
1/12/1996,,0.00995753
1/16/1996,,0.01408739
2/6/1996,,0.01162589
3/8/1996,,0.01742444
3/20/1996,,0.01093340
4/5/1996,,0.01093340
4/17/1996,,0.00798345
4/25/1996,,0.00409216
5/2/1996,,0.01023711
5/6/1996,,0.00855051
5/11/1996,,0.00655515
5/14/1996,,0.00291790
5/15/1996,,0.00883313
5/16/1996,,0.00335939
5/21/1996,,0.00452999
5/30/1996,,0.00554630
6/3/1996,,0.00511165
6/6/1996,,0.00247505
6/6/1996,,0.00655515
6/12/1996,,0.00394591
6/18/1996,,0.00467564
6/26/1996,,0.02638365
7/3/1996,,0.00511165
7/19/1996,,0.00925592
8/16/1996,,0.02092175
9/6/1996,,0.02829683
10/2/1996,,0.00980351
11/5/1996,,0.00315353
11/18/1996,,0.01642003
11/19/1996,,0.01208086
12/5/1996,,0.00467564
12/12/1996,,0.00496646
1/3/1997,,0.01752966
1/8/1997,,0.01155682
2/18/1997,,0.01393838
3/12/1997,,0.00919963
3/27/1997,,0.00811125
4/9/1997,,0.00896011
5/1/1997,,0.00635398
5/8/1997,,0.00615250
5/15/1997,,0.01090563
5/15/1997,,0.00946681
5/22/1997,,0.00795503
5/30/1997,,0.00527118
6/6/1997,,0.00514067
6/9/1997,,0.01517900
6/12/1997,,0.00592188
6/17/1997,,0.00592188
6/27/1997,,0.00781286
7/23/1997,,0.01414153
8/18/1997,,0.03879257
9/17/1997,,0.02429592
10/21/1997,,0.00496646
11/25/1997,,0.01125242
12/15/1997,,0.03484018
1/16/1998,,0.03033325
1/22/1998,,0.02446851
2/25/1998,,0.04257620
3/19/1998,,0.02587499
3/25/1998,,0.01623405
4/21/1998,,0.02284186
4/30/1998,,0.01929053
5/5/1998,,0.02571701
5/20/1998,,0.01225963
5/28/1998,,0.00798345
6/3/1998,,0.01412800
6/11/1998,,0.01353105
6/17/1998,,0.00860709
6/23/1998,,0.00886136
6/30/1998,,0.01359903
