DATE,Remarks,OP
6/7/1990,,0.00610000
6/18/1990,,0.00710000
7/2/1990,,0.01180000
8/14/1990,,0.02480000
10/24/1990,,0.02040000
11/29/1990,,0.01160000
1/23/1991,,0.01220000
2/20/1991,,0.01290000
3/4/1991,,0.01550000
3/8/1991,,0.00780000
4/16/1991,,0.00460000
5/1/1991,,0.00360000
5/8/1991,,0.00640000
5/15/1991,,0.00590000
5/15/1991,,0.00730000
5/21/1991,,0.00730000
5/22/1991,,0.00770000
5/23/1991,,0.00250000
5/31/1991,,0.00450000
6/4/1991,,0.00600000
6/4/1991,,0.00600000
6/11/1991,,0.00500000
6/11/1991,,0.00430000
6/17/1991,,0.00720000
7/2/1991,,0.01250000
7/22/1991,,0.01150000
8/6/1991,,0.01940000
8/27/1991,,0.02650000
9/18/1991,,0.02590000
10/16/1991,,0.02400000
11/7/1991,,0.00730000
11/9/1991,,0.00340000
12/9/1991,,0.01010000
1/22/1992,,0.01260000
2/18/1992,,0.01090000
3/12/1992,,0.00630000
3/25/1992,,0.00550000
4/1/1992,,0.00250000
4/6/1992,,0.00340000
4/12/1992,,0.00500000
4/13/1992,,0.00480000
4/16/1992,,0.00790000
4/17/1992,,0.00610000
4/17/1992,,0.00520000
4/21/1992,,0.00610000
4/24/1992,,0.00570000
4/26/1992,,0.00550000
4/27/1992,,0.00590000
4/27/1992,,0.00500000
4/29/1992,,0.00550000
4/29/1992,,0.00390000
4/29/1992,,0.00620000
5/4/1992,,0.00660000
5/4/1992,,0.00710000
5/5/1992,,0.00550000
5/13/1992,,0.00590000
5/18/1992,,0.00390000
5/27/1992,,0.00820000
5/27/1992,,0.00840000
6/3/1992,,0.01360000
6/15/1992,,0.00840000
6/16/1992,,0.00950000
7/6/1992,,0.01260000
7/12/1992,,0.01030000
7/22/1992,,0.01930000
8/18/1992,,0.02570000
9/9/1992,,0.00500000
10/23/1992,,0.01650000
10/27/1992,,0.01380000
11/12/1992,,0.01420000
12/15/1992,,0.00500000
1/19/1993,,0.00700000
3/3/1993,,0.00680000
3/11/1993,,0.00450000
3/17/1993,,0.00360000
3/18/1993,,0.00250000
3/23/1993,,0.00270000
3/30/1993,,0.00480000
4/13/1993,,0.00460000
4/21/1993,,0.00570000
4/28/1993,,0.00430000
5/13/1993,,0.00950000
5/20/1993,,0.00880000
5/20/1993,,0.00880000
5/25/1993,,0.00750000
5/31/1993,,0.00700000
6/1/1993,,0.00770000
6/10/1993,,0.00610000
6/15/1993,,0.00800000
6/22/1993,,0.00800000
6/23/1993,,0.00640000
6/29/1993,,0.00590000
7/21/1993,,0.01240000
8/2/1993,,0.01380000
8/24/1993,,0.02030000
9/22/1993,,0.01930000
10/26/1993,,0.01050000
11/16/1993,,0.01640000
12/20/1993,,0.02950000
3/23/1994,,0.00630000
4/5/1994,,0.00480000
4/20/1994,,0.00480000
4/20/1994,,0.00370000
5/2/1994,,0.00450000
5/6/1994,,0.00410000
5/12/1994,,0.00430000
5/18/1994,,0.00710000
5/23/1994,,0.00710000
6/2/1994,,0.00730000
6/17/1994,,0.01160000
7/12/1994,,0.02220000
8/3/1994,,0.02510000
8/22/1994,,0.02820000
9/19/1994,,0.02150000
10/19/1994,,0.01510000
11/6/1994,,0.00500000
12/29/1994,,0.00850000
1/30/1995,,0.00710000
2/27/1995,,0.00370000
3/10/1995,,0.00750000
3/13/1995,,0.00550000
3/27/1995,,0.00550000
4/26/1995,,0.00360000
4/28/1995,,0.00250000
4/30/1995,,0.00320000
5/2/1995,,0.00340000
5/9/1995,,0.00430000
5/18/1995,,0.00500000
5/23/1995,,0.00480000
5/31/1995,,0.00660000
6/1/1995,,0.00750000
6/2/1995,,0.00710000
6/14/1995,,0.00480000
6/23/1995,,0.00430000
6/28/1995,,0.00520000
7/6/1995,,0.00620000
7/17/1995,,0.00860000
8/2/1995,,0.00890000
8/29/1995,,0.01510000
9/15/1995,,0.01740000
10/12/1995,,0.01880000
11/21/1995,,0.01750000
12/14/1995,,0.00480000
1/12/1996,,0.00690000
1/16/1996,,0.00710000
2/6/1996,,0.00430000
3/8/1996,,0.00750000
3/20/1996,,0.00340000
4/5/1996,,0.00500000
4/17/1996,,0.00500000
4/25/1996,,0.00460000
5/2/1996,,0.00460000
5/6/1996,,0.00520000
5/11/1996,,0.00550000
5/14/1996,,0.00410000
5/15/1996,,0.00300000
5/16/1996,,0.00480000
5/21/1996,,0.00590000
5/30/1996,,0.00520000
6/3/1996,,0.00500000
6/6/1996,,0.00520000
6/6/1996,,0.00570000
6/12/1996,,0.00680000
6/18/1996,,0.00750000
6/26/1996,,0.00800000
7/3/1996,,0.00910000
7/19/1996,,0.01360000
8/16/1996,,0.01780000
9/6/1996,,0.03390000
10/2/1996,,0.01648000
11/5/1996,,0.01071000
11/18/1996,,0.00729000
11/19/1996,,0.00843000
12/5/1996,,0.00727000
12/12/1996,,0.00637000
1/3/1997,,0.01078000
1/8/1997,,0.00916000
2/18/1997,,0.00934000
3/12/1997,,0.00618000
3/27/1997,,0.00365000
4/9/1997,,0.00869000
5/1/1997,,0.00571000
5/8/1997,,0.00137000
5/15/1997,,0.00436000
5/15/1997,,0.00528000
5/22/1997,,0.00658000
5/30/1997,,0.00522000
6/6/1997,,0.00612000
6/9/1997,,0.00726000
6/12/1997,,0.00710000
6/17/1997,,0.00618000
6/27/1997,,0.01099000
7/23/1997,,0.01555000
8/18/1997,,0.02065000
9/17/1997,,0.02116000
10/21/1997,,0.01369000
11/25/1997,,0.01275000
12/15/1997,,0.01224000
1/16/1998,,0.00826000
1/22/1998,,0.00665000
2/25/1998,,0.00782000
3/19/1998,,0.00411000
3/25/1998,,0.00456000
4/21/1998,,0.00365000
4/30/1998,,0.00388000
5/5/1998,,0.00501000
5/20/1998,,0.00476000
5/28/1998,,0.00573000
6/3/1998,,0.00458000
6/11/1998,,0.00478000
6/17/1998,,0.00545000
6/23/1998,,0.00613000
6/30/1998,,0.00527000
7/15/1998,,0.00687000
7/15/1998,,0.00596000
7/29/1998,,0.01002000
8/13/1998,,0.01531000
9/29/1998,,0.00962000
10/29/1998,,0.00960000
11/30/1998,,0.00618000
12/22/1998,,0.00798000
1/22/1999,,0.00684000
2/27/1999,,0.00820000
3/24/1999,,0.00479000
4/16/1999,,0.00296000
4/21/1999,,0.00273000
5/7/1999,,0.00319000
5/10/1999,,0.00387000
5/13/1999,,0.00434000
5/20/1999,,0.00389000
5/26/1999,,0.00274000
6/3/1999,,0.00433000
6/9/1999,,0.00525000
6/14/1999,,0.00662000
6/21/1999,,0.00616000
7/7/1999,,0.00956000
8/19/1999,,0.01600000
9/21/1999,,0.01682000
10/6/1999,,0.01696000
11/5/1999,,0.01252000
12/17/1999,,0.01332000
1/6/2000,,0.01569000
2/1/2000,,0.00791000
3/16/2000,,0.00545000
4/3/2000,,0.00296000
4/11/2000,,0.00250000
4/13/2000,,0.00273000
5/1/2000,,0.00412000
5/8/2000,,0.00412000
5/23/2000,,0.00545000
6/7/2000,,0.00614000
7/7/2000,,0.01385000
8/9/2000,,0.01968000
9/8/2000,,0.01828000
10/6/2000,,0.01712000
10/17/2000,,0.01285000
11/13/2000,,0.01247000
12/7/2000,,0.01409000
1/5/2001,,0.01230000
2/12/2001,,0.01179000
3/8/2001,,0.01090000
3/20/2001,,0.00475000
3/29/2001,,0.00383000
4/3/2001,,0.00385000
4/18/2001,,0.00316000
4/25/2001,,0.00226000
5/3/2001,,0.00362000
5/7/2001,,0.00339000
5/10/2001,,0.00294000
5/15/2001,,0.00431000
5/21/2001,,0.00589000
5/29/2001,,0.00907000
6/8/2001,,0.01224000
7/2/2001,,0.01672000
8/2/2001,,0.02113000
9/7/2001,,0.01669000
10/3/2001,,0.01317000
11/6/2001,,0.01249000
12/7/2001,,0.00567000
1/8/2002,,0.00295000
2/5/2002,,0.00477000
3/5/2002,,0.00432000
3/28/2002,,0.00366000
4/2/2002,,0.00251000
4/12/2002,,0.00272000
4/25/2002,,0.00318000
5/9/2002,,0.00409000
5/15/2002,,0.00477000
5/17/2002,,0.00500000
5/28/2002,,0.00522000
5/31/2002,,0.00522000
6/4/2002,,0.00654000
7/3/2002,,0.01136000
8/12/2002,,0.02017000
9/12/2002,,0.02100000
10/11/2002,,0.01521000
11/5/2002,,0.01338000
11/8/2002,,0.01247000
12/3/2002,,0.01022000
1/9/2003,,0.00705000
2/5/2003,,0.00457000
3/5/2003,,0.00655000
3/26/2003,,0.00523000
4/2/2003,,0.00272000
4/9/2003,,0.00385000
5/8/2003,,0.00248000
5/13/2003,,0.00294000
5/16/2003,,0.00454000
5/21/2003,,0.00364000
5/23/2003,,0.00500000
5/28/2003,,0.00816000
6/5/2003,,0.00680000
7/10/2003,,0.01383000
8/6/2003,,0.01632000
9/2/2003,,0.02382000
10/9/2003,,0.01947000
11/4/2003,,0.01544000
12/5/2003,,0.01838000
1/8/2004,,0.00951000
2/4/2004,,0.00883000
3/3/2004,,0.00700000
3/18/2004,,0.00339000
4/8/2004,,0.00407000
4/13/2004,,0.00318000
4/22/2004,,0.00659000
4/26/2004,,0.00455000
5/3/2004,,0.00593000
5/17/2004,,0.00638000
6/2/2004,,0.00725000
6/14/2004,,0.00909000
7/7/2004,,0.01246000
8/3/2004,,0.02070000
9/7/2004,,0.02226000
10/7/2004,,0.01582000
11/1/2004,,0.01151000
12/7/2004,,0.01132000
1/4/2005,,0.00906000
2/1/2005,,0.00453000
3/3/2005,,0.00340000
4/7/2005,,0.00317000
4/19/2005,,0.00363000
4/29/2005,,0.00386000
5/2/2005,,0.00386000
5/4/2005,,0.00318000
5/12/2005,,0.00364000
5/17/2005,,0.00477000
5/19/2005,,0.00593000
5/24/2005,,0.00704000
5/26/2005,,0.00680000
6/2/2005,,0.00704000
6/7/2005,,0.00682000
6/24/2005,,0.00613000
7/7/2005,,0.00794000
8/2/2005,,0.01670000
9/14/2005,,0.02084000
10/7/2005,,0.01611000
11/3/2005,,0.01226000
12/2/2005,,0.00524000
12/6/2005,,0.00840000
1/1/2006,,0.00749000
1/5/2006,,0.00545000
2/7/2006,,0.00499000
3/1/2006,,0.00454000
4/7/2006,,0.00568000
4/25/2006,,0.00318000
5/2/2006,,0.00318000
5/9/2006,,0.00523000
5/12/2006,,0.00613000
5/19/2006,,0.00636000
5/26/2006,,0.00568000
6/7/2006,,0.00522000
6/20/2006,,0.00636000
6/26/2006,,0.00591000
7/6/2006,,0.00841000
8/3/2006,,0.01541000
9/7/2006,,0.02221000
10/2/2006,,0.01886000
11/6/2006,,0.01408000
12/7/2006,,0.01245000
1/9/2007,,0.00862000
2/5/2007,,0.00952000
3/5/2007,,0.00748000
3/19/2007,,0.00295000
4/3/2007,,0.00272000
