DATE,Remarks,TKN
6/7/1990,,0.11690000
6/18/1990,,0.09060000
7/2/1990,,0.12370000
8/14/1990,,0.11030000
10/24/1990,,0.12970000
11/29/1990,,0.11870000
1/23/1991,,0.04110000
2/20/1991,,0.08560000
3/4/1991,,1.00460000
3/8/1991,,0.15860000
4/16/1991,,0.12160000
5/1/1991,,0.11400000
5/8/1991,,0.17040000
5/15/1991,,0.10450000
5/15/1991,,0.27390000
5/21/1991,,0.09840000
5/22/1991,,0.24900000
5/23/1991,,0.87800000
5/31/1991,,0.13530000
6/4/1991,,0.13990000
6/4/1991,,0.48400000
6/11/1991,,0.17000000
6/11/1991,,0.25090000
6/17/1991,,0.11950000
7/2/1991,,0.09560000
7/22/1991,,0.11880000
8/6/1991,,0.07010000
8/27/1991,,0.05230000
9/18/1991,,0.07340000
10/16/1991,,0.06910000
11/7/1991,,0.19900000
11/9/1991,,0.17080000
12/9/1991,,0.15010000
1/22/1992,,0.07020000
2/18/1992,,0.07300000
3/12/1992,,0.08180000
3/25/1992,,0.09610000
4/1/1992,,0.12780000
4/6/1992,,0.10490000
4/12/1992,,0.28960000
4/13/1992,,0.14280000
4/16/1992,,0.10870000
4/17/1992,,0.47260000
4/17/1992,,0.46740000
4/21/1992,,0.09170000
4/24/1992,,0.18730000
4/26/1992,,0.33840000
4/27/1992,,0.20730000
4/27/1992,,0.21440000
4/29/1992,,0.17140000
4/29/1992,,0.15260000
4/29/1992,,0.41970000
5/4/1992,,0.11740000
5/4/1992,,0.12820000
5/5/1992,,0.13430000
5/13/1992,,0.14480000
5/18/1992,,0.13530000
5/27/1992,,0.14170000
5/27/1992,,0.30990000
6/3/1992,,0.14210000
6/15/1992,,0.10290000
6/16/1992,,0.12200000
7/6/1992,,0.13760000
7/12/1992,,0.36170000
7/22/1992,,0.10510000
8/18/1992,,0.08900000
9/9/1992,,0.09190000
10/23/1992,,0.06900000
10/27/1992,,0.25370000
11/12/1992,,0.04980000
12/15/1992,,0.12760000
1/19/1993,,0.10710000
3/3/1993,,0.06430000
3/11/1993,,0.08330000
3/17/1993,,0.55670000
3/18/1993,,0.27390000
3/23/1993,,0.14000000
3/30/1993,,0.09410000
4/13/1993,,0.09180000
4/21/1993,,0.08030000
4/28/1993,,0.16190000
5/13/1993,,0.16070000
5/20/1993,,0.13300000
5/20/1993,,0.22500000
5/25/1993,,0.15520000
5/31/1993,,0.11890000
6/1/1993,,0.10300000
6/10/1993,,0.10760000
6/15/1993,,0.10480000
6/22/1993,,0.10790000
6/23/1993,,0.12490000
6/29/1993,,0.17720000
7/21/1993,,0.06310000
8/2/1993,,0.09180000
8/24/1993,,0.12260000
9/22/1993,,0.09600000
10/26/1993,,0.11770000
11/16/1993,,0.04300000
12/20/1993,,0.07000000
3/23/1994,,0.14500000
4/5/1994,,0.10570000
4/20/1994,,0.12240000
4/20/1994,,0.17420000
5/2/1994,,0.10580000
5/6/1994,,0.09980000
5/12/1994,,0.10940000
5/18/1994,,0.07270000
5/23/1994,,0.14510000
6/2/1994,,0.07270000
6/17/1994,,0.08760000
7/12/1994,,0.07120000
8/3/1994,,0.07000000
8/22/1994,,0.04960000
9/19/1994,,0.09460000
10/19/1994,,0.07150000
11/6/1994,,0.29280000
12/29/1994,,0.13980000
1/30/1995,,0.13310000
2/27/1995,,0.07570000
3/10/1995,,0.12830000
3/13/1995,,0.17280000
3/27/1995,,0.17380000
4/26/1995,,0.11780000
4/28/1995,,0.10680000
4/30/1995,,0.16190000
5/2/1995,,0.17480000
5/9/1995,,0.07610000
5/18/1995,,0.08320000
5/23/1995,,0.00502340
5/31/1995,,0.13570000
6/1/1995,,0.01980377
6/2/1995,,0.13240000
6/14/1995,,0.09300000
6/23/1995,,0.16690000
6/28/1995,,0.11960000
7/6/1995,,0.08970000
7/17/1995,,0.11150000
8/2/1995,,0.06270000
8/29/1995,,0.06220000
9/15/1995,,0.05230000
10/12/1995,,0.06110000
11/21/1995,,0.05600000
12/14/1995,,0.08740000
1/12/1996,,0.08440000
1/16/1996,,0.21000000
2/6/1996,,0.10270000
3/8/1996,,0.11500000
3/20/1996,,0.07810000
4/5/1996,,0.14080000
4/17/1996,,0.09700000
4/25/1996,,0.12180000
5/2/1996,,0.08230000
5/6/1996,,0.19200000
5/11/1996,,0.18880000
5/14/1996,,0.08030000
5/15/1996,,0.20060000
5/16/1996,,0.15820000
5/21/1996,,0.12930000
5/30/1996,,0.03391559
6/3/1996,,0.05550000
6/6/1996,,0.35760000
6/6/1996,,0.22580000
6/12/1996,,0.20250000
6/18/1996,,0.04310000
6/26/1996,,0.09960000
7/3/1996,,0.03910000
7/19/1996,,0.06310000
8/16/1996,,0.07720000
9/6/1996,,0.06340000
10/2/1996,,0.41563000
11/5/1996,,0.17240000
11/18/1996,,0.21765000
11/19/1996,,0.08910000
12/5/1996,,0.22910000
12/12/1996,,0.27721000
1/3/1997,,0.06613000
1/8/1997,,0.09433000
2/18/1997,,0.08132000
3/12/1997,,0.08205000
3/27/1997,,0.08425000
4/9/1997,,0.07645000
5/1/1997,,0.07106000
5/8/1997,,0.15399000
5/15/1997,,0.04681000
5/15/1997,,0.12137000
5/22/1997,,0.10362000
5/30/1997,,0.06692000
6/6/1997,,0.06355000
6/9/1997,,0.16562000
6/12/1997,,0.06838000
6/17/1997,,0.08956000
6/27/1997,,0.09239000
7/23/1997,,0.05671000
8/18/1997,,0.05591000
9/17/1997,,0.04550000
10/21/1997,,0.06119000
11/25/1997,,0.07696000
12/15/1997,,0.06428000
1/16/1998,,0.19944000
1/22/1998,,0.08615000
2/25/1998,,0.06375000
3/19/1998,,0.08660000
3/25/1998,,0.13367000
4/21/1998,,0.06680000
4/30/1998,,0.11798000
5/5/1998,,0.06523000
5/20/1998,,0.05459000
5/28/1998,,0.05180000
6/3/1998,,0.09153000
6/11/1998,,0.04608000
6/17/1998,,0.06047000
6/23/1998,,0.06224000
6/30/1998,,0.11841000
7/15/1998,,0.05385000
7/15/1998,,0.09041000
7/29/1998,,0.05497000
8/13/1998,,0.07595000
9/29/1998,,0.08642000
10/29/1998,,0.05591000
11/30/1998,,0.15114000
12/22/1998,,0.09168000
1/22/1999,,0.07779000
2/27/1999,,0.07636000
3/24/1999,,0.09098000
4/16/1999,,0.09189000
4/21/1999,,0.07787000
5/7/1999,,0.18255000
5/10/1999,,0.08742000
5/13/1999,,0.09368000
5/20/1999,,0.07523000
5/26/1999,,0.11245000
6/3/1999,,0.06490000
6/9/1999,,0.05981000
6/14/1999,,0.04921000
6/21/1999,,0.04875000
7/7/1999,,0.01303586
8/19/1999,,0.04794000
9/21/1999,,0.05379000
10/6/1999,,0.07162000
11/5/1999,,0.05912000
12/17/1999,,0.00533551
1/6/2000,,0.04451000
2/1/2000,,0.06771000
3/16/2000,,0.06729000
4/3/2000,,0.10750000
4/11/2000,,0.07930000
4/13/2000,,0.14324000
5/1/2000,,0.11794000
5/8/2000,,0.17789000
5/23/2000,,0.11417000
6/7/2000,,0.04534000
7/7/2000,,0.07037000
8/9/2000,,0.05080000
9/8/2000,,0.04557000
10/6/2000,,0.07336000
10/17/2000,,0.03158507
11/13/2000,,0.05521000
12/7/2000,,0.04346000
1/5/2001,,0.04634000
2/12/2001,,0.02332522
3/8/2001,,0.05250000
3/20/2001,,0.15887000
3/29/2001,,0.10476000
4/3/2001,,0.09803000
4/18/2001,,0.08910000
4/25/2001,,0.15970000
5/3/2001,,0.08834000
5/7/2001,,0.08782000
5/10/2001,,0.15334000
5/15/2001,,0.18567000
5/21/2001,,0.14718000
5/29/2001,,0.07757000
6/8/2001,,0.08727000
7/2/2001,,0.10901000
8/2/2001,,0.08241000
9/7/2001,,0.13577000
10/3/2001,,0.15580000
11/6/2001,,0.10086000
12/7/2001,,0.29088000
1/8/2002,,0.20146000
2/5/2002,,0.12835000
3/5/2002,,0.17906000
3/28/2002,,0.13463000
4/2/2002,,0.20596000
4/12/2002,,0.21682000
4/25/2002,,0.20929000
5/9/2002,,0.26311000
5/15/2002,,0.16403000
5/17/2002,,0.16670000
5/28/2002,,0.20219000
5/31/2002,,0.05568000
6/4/2002,,0.12581000
7/3/2002,,0.12139000
8/12/2002,,0.25540000
9/12/2002,,0.05482000
10/11/2002,,0.19257000
11/5/2002,,0.03670000
11/8/2002,,0.75765000
12/3/2002,,0.07651000
1/9/2003,,0.10706000
2/5/2003,,0.11043000
3/5/2003,,0.08717000
3/26/2003,,0.35926000
4/2/2003,,0.11888000
4/9/2003,,0.06297000
5/8/2003,,0.21451000
5/13/2003,,0.15022000
5/16/2003,,0.33723000
5/21/2003,,0.14498000
5/23/2003,,0.21612000
5/28/2003,,0.42392000
6/5/2003,,0.35585000
7/10/2003,,0.08401000
8/6/2003,,0.15529000
9/2/2003,,0.07839000
10/9/2003,,0.10988000
11/4/2003,,0.09796000
12/5/2003,,0.18474000
1/8/2004,,0.12340000
2/4/2004,,0.08812000
3/3/2004,,0.11025000
3/18/2004,,0.14963000
