Date,Remarks,SSC_Conc
1/5/71,,44
2/1/71,,40
3/1/71,,48
4/1/71,,65
5/2/71,,164
5/3/71,,104
6/1/71,,127
10/1/71,,50
11/1/71,,28
12/3/71,,24
1/7/72,,60
2/8/72,,77
3/6/72,,48
4/10/72,,95
5/8/72,,120
5/12/72,,130
5/30/72,,148
6/1/72,,172
6/6/72,,154
6/9/72,,149
6/13/72,,117
6/15/72,,139
6/23/72,,110
6/27/72,,213
7/1/72,,224
7/5/72,,185
8/10/72,,175
9/6/72,,133
9/10/72,,215
9/12/72,,154
9/17/72,,93
9/24/72,,89
10/1/72,,106
10/2/72,,104
10/3/72,,92
10/4/72,,71
10/5/72,,85
10/6/72,,94
10/7/72,,90
10/8/72,,94
10/9/72,,91
10/10/72,,72
10/11/72,,82
10/12/72,,73
10/13/72,,54
10/14/72,,54
10/15/72,,68
10/16/72,,74
10/17/72,,48
10/18/72,,48
10/19/72,,80
10/20/72,,35
10/21/72,,98
10/22/72,,87
10/23/72,,94
10/24/72,,90
10/25/72,,108
10/26/72,,103
10/27/72,,82
10/28/72,,90
10/29/72,,60
10/30/72,,47
10/31/72,,22
11/1/72,,36
11/2/72,,46
11/3/72,,52
11/4/72,,53
11/5/72,,62
11/6/72,,52
11/7/72,,48
11/8/72,,51
11/9/72,,51
11/10/72,,48
11/11/72,,114
11/12/72,,80
11/13/72,,198
11/14/72,,212
11/15/72,,120
11/16/72,,156
11/17/72,,189
11/18/72,,223
11/19/72,,154
11/20/72,,133
11/21/72,,117
11/22/72,,107
11/23/72,,106
11/24/72,,80
11/25/72,,84
11/26/72,,84
11/27/72,,82
11/28/72,,79
11/29/72,,65
11/30/72,,76
12/1/72,,64
12/2/72,,60
12/3/72,,57
12/4/72,,63
12/4/72,,70
12/4/72,,61
12/5/72,,57
12/6/72,,48
12/7/72,,54
12/8/72,,45
12/9/72,,35
12/10/72,,37
12/11/72,,33
12/12/72,,31
12/13/72,,44
12/14/72,,38
12/15/72,,35
12/16/72,,35
12/17/72,,42
12/18/72,,57
12/19/72,,65
12/20/72,,76
12/21/72,,111
12/22/72,,100
12/23/72,,88
12/24/72,,81
12/25/72,,77
12/26/72,,71
12/27/72,,77
12/28/72,,77
12/29/72,,64
12/30/72,,47
12/31/72,,52
1/1/73,,52
1/2/73,,49
1/3/73,,47
1/4/73,,47
1/5/73,,58
1/6/73,,38
1/7/73,,34
1/8/73,,32
1/8/73,,29
1/9/73,,41
1/10/73,,65
1/11/73,,89
1/12/73,,78
1/13/73,,50
1/14/73,,129
1/15/73,,105
1/16/73,,88
1/16/73,,79
1/16/73,,81
1/17/73,,106
1/18/73,,321
1/19/73,,189
1/19/73,,175
1/20/73,,242
1/21/73,,160
1/22/73,,155
1/23/73,,132
1/24/73,,111
1/25/73,,56
1/26/73,,94
1/27/73,,75
1/28/73,,86
1/29/73,,81
1/30/73,,70
1/31/73,,80
2/1/73,,110
2/2/73,,99
2/3/73,,99
2/4/73,,116
2/5/73,,123
2/6/73,,117
2/7/73,,295
2/8/73,,308
2/9/73,,163
2/10/73,,134
